Log(E/eV)	Log(R/pc)	Syn	ICIR	IC	Dif	Acc	Adia
9.68421	1.03448	-9.53619	-11.7048	-11.1618	-19.2301	-0.0412875	-8.22372
10.2105	1.03448	-9.00987	-11.2261	-10.8795	-18.7037	-0.567603	-8.22372
10.7368	1.03448	-8.48356	-10.7745	-10.706	-18.1774	-1.09392	-8.22372
11.2632	1.03448	-7.95724	-10.3985	-10.7021	-17.6511	-1.62023	-8.22372
11.7895	1.03448	-7.43093	-10.1775	-10.8769	-17.1248	-2.14655	-8.22372
12.3158	1.03448	-6.90461	-10.1719	-11.2002	-16.5985	-2.67287	-8.22372
12.8421	1.03448	-6.37829	-10.3849	-11.6294	-16.0722	-3.19918	-8.22372
13.3684	1.03448	-5.85198	-10.7669	-12.1228	-15.5458	-3.7255	-8.22372
13.8947	1.03448	-5.32566	-11.2454	-12.6483	-15.0195	-4.25181	-8.22372
14.4211	1.03448	-4.79935	-11.7663	-13.1868	-14.4932	-4.77813	-8.22372
14.9474	1.03448	-4.27303	-12.3031	-13.73	-13.9669	-5.30445	-8.22372
15.4737	1.03448	-3.74672	-12.8452	-14.2746	-13.4406	-5.83076	-8.22372
16	1.03448	-3.2204	-13.3889	-14.8194	-12.9143	-6.35708	-8.22372
6	1.10345	-13.3583	-15.2157	-14.4191	-22.9832	3.57396	-8.29268
6.52632	1.10345	-12.832	-14.6361	-13.8398	-22.4569	3.04764	-8.29268
7.05263	1.10345	-12.3057	-14.1391	-13.3437	-21.9306	2.52133	-8.29268
7.57895	1.10345	-11.7794	-13.652	-12.8595	-21.4043	1.99501	-8.29268
8.10526	1.10345	-11.2531	-13.1657	-12.3827	-20.878	1.46869	-8.29268
8.63158	1.10345	-10.7268	-12.6787	-11.9247	-20.3516	0.942379	-8.29268
9.15789	1.10345	-10.2004	-12.1911	-11.5109	-19.8253	0.416063	-8.29268
9.68421	1.10345	-9.67412	-11.7048	-11.1618	-19.299	-0.110253	-8.29268
10.2105	1.10345	-9.1478	-11.2261	-10.8795	-18.7727	-0.636569	-8.29268
10.7368	1.10345	-8.62149	-10.7745	-10.706	-18.2464	-1.16288	-8.29268
11.2632	1.10345	-8.09517	-10.3985	-10.7021	-17.7201	-1.6892	-8.29268
11.7895	1.10345	-7.56886	-10.1775	-10.8769	-17.1938	-2.21552	-8.29268
12.3158	1.10345	-7.04254	-10.1719	-11.2002	-16.6674	-2.74183	-8.29268
12.8421	1.10345	-6.51623	-10.3849	-11.6294	-16.1411	-3.26815	-8.29268
13.3684	1.10345	-5.98991	-10.7669	-12.1228	-15.6148	-3.79446	-8.29268
13.8947	1.10345	-5.46359	-11.2454	-12.6483	-15.0885	-4.32078	-8.29268
14.4211	1.10345	-4.93728	-11.7663	-13.1868	-14.5622	-4.8471	-8.29268
14.9474	1.10345	-4.41096	-12.3031	-13.73	-14.0359	-5.37341	-8.29268
15.4737	1.10345	-3.88465	-12.8452	-14.2746	-13.5095	-5.89973	-8.29268
16	1.10345	-3.35833	-13.3889	-14.8194	-12.9832	-6.42604	-8.29268
6	1.17241	-13.4963	-15.2157	-14.4191	-23.0522	3.50499	-8.36165
6.52632	1.17241	-12.9699	-14.6361	-13.8398	-22.5259	2.97868	-8.36165
7.05263	1.17241	-12.4436	-14.1391	-13.3437	-21.9996	2.45236	-8.36165
7.57895	1.17241	-11.9173	-13.652	-12.8595	-21.4732	1.92604	-8.36165
8.10526	1.17241	-11.391	-13.1657	-12.3827	-20.9469	1.39973	-8.36165
8.63158	1.17241	-10.8647	-12.6787	-11.9247	-20.4206	0.873413	-8.36165
9.15789	1.17241	-10.3384	-12.1911	-11.5109	-19.8943	0.347097	-8.36165
9.68421	1.17241	-9.81205	-11.7048	-11.1618	-19.368	-0.179219	-8.36165
10.2105	1.17241	-9.28574	-11.2261	-10.8795	-18.8417	-0.705534	-8.36165
10.7368	1.17241	-8.75942	-10.7745	-10.706	-18.3154	-1.23185	-8.36165
11.2632	1.17241	-8.2331	-10.3985	-10.7021	-17.789	-1.75817	-8.36165
11.7895	1.17241	-7.70679	-10.1775	-10.8769	-17.2627	-2.28448	-8.36165
12.3158	1.17241	-7.18047	-10.1719	-11.2002	-16.7364	-2.8108	-8.36165
12.8421	1.17241	-6.65416	-10.3849	-11.6294	-16.2101	-3.33711	-8.36165
13.3684	1.17241	-6.12784	-10.7669	-12.1228	-15.6838	-3.86343	-8.36165
13.8947	1.17241	-5.60153	-11.2454	-12.6483	-15.1575	-4.38974	-8.36165
14.4211	1.17241	-5.07521	-11.7663	-13.1868	-14.6311	-4.91606	-8.36165
14.9474	1.17241	-4.54889	-12.3031	-13.73	-14.1048	-5.44238	-8.36165
15.4737	1.17241	-4.02258	-12.8452	-14.2746	-13.5785	-5.96869	-8.36165
16	1.17241	-3.49626	-13.3889	-14.8194	-13.0522	-6.49501	-8.36165
6	1.24138	-13.6342	-15.2157	-14.4191	-23.1212	3.43603	-8.43061
6.52632	1.24138	-13.1079	-14.6361	-13.8398	-22.5948	2.90971	-8.43061
7.05263	1.24138	-12.5816	-14.1391	-13.3437	-22.0685	2.38339	-8.43061
7.57895	1.24138	-12.0552	-13.652	-12.8595	-21.5422	1.85708	-8.43061
8.10526	1.24138	-11.5289	-13.1657	-12.3827	-21.0159	1.33076	-8.43061
8.63158	1.24138	-11.0026	-12.6787	-11.9247	-20.4896	0.804448	-8.43061
9.15789	1.24138	-10.4763	-12.1911	-11.5109	-19.9633	0.278132	-8.43061
9.68421	1.24138	-9.94998	-11.7048	-11.1618	-19.4369	-0.248184	-8.43061
10.2105	1.24138	-9.42367	-11.2261	-10.8795	-18.9106	-0.7745	-8.43061
10.7368	1.24138	-8.89735	-10.7745	-10.706	-18.3843	-1.30082	-8.43061
11.2632	1.24138	-8.37104	-10.3985	-10.7021	-17.858	-1.82713	-8.43061
11.7895	1.24138	-7.84472	-10.1775	-10.8769	-17.3317	-2.35345	-8.43061
12.3158	1.24138	-7.3184	-10.1719	-11.2002	-16.8054	-2.87976	-8.43061
12.8421	1.24138	-6.79209	-10.3849	-11.6294	-16.2791	-3.40608	-8.43061
13.3684	1.24138	-6.26577	-10.7669	-12.1228	-15.7527	-3.93239	-8.43061
13.8947	1.24138	-5.73946	-11.2454	-12.6483	-15.2264	-4.45871	-8.43061
14.4211	1.24138	-5.21314	-11.7663	-13.1868	-14.7001	-4.98503	-8.43061
14.9474	1.24138	-4.68682	-12.3031	-13.73	-14.1738	-5.51134	-8.43061
15.4737	1.24138	-4.16051	-12.8452	-14.2746	-13.6475	-6.03766	-8.43061
16	1.24138	-3.63419	-13.3889	-14.8194	-13.1212	-6.56397	-8.43061
6	1.31034	-13.7721	-15.2157	-14.4191	-23.1901	3.36706	-8.49958
6.52632	1.31034	-13.2458	-14.6361	-13.8398	-22.6638	2.84075	-8.49958
7.05263	1.31034	-12.7195	-14.1391	-13.3437	-22.1375	2.31443	-8.49958
7.57895	1.31034	-12.1932	-13.652	-12.8595	-21.6112	1.78811	-8.49958
8.10526	1.31034	-11.6669	-13.1657	-12.3827	-21.0849	1.2618	-8.49958
8.63158	1.31034	-11.1405	-12.6787	-11.9247	-20.5585	0.735482	-8.49958
9.15789	1.31034	-10.6142	-12.1911	-11.5109	-20.0322	0.209166	-8.49958
9.68421	1.31034	-10.0879	-11.7048	-11.1618	-19.5059	-0.31715	-8.49958
10.2105	1.31034	-9.5616	-11.2261	-10.8795	-18.9796	-0.843465	-8.49958
10.7368	1.31034	-9.03528	-10.7745	-10.706	-18.4533	-1.36978	-8.49958
11.2632	1.31034	-8.50897	-10.3985	-10.7021	-17.927	-1.8961	-8.49958
11.7895	1.31034	-7.98265	-10.1775	-10.8769	-17.4007	-2.42241	-8.49958
12.3158	1.31034	-7.45633	-10.1719	-11.2002	-16.8743	-2.94873	-8.49958
12.8421	1.31034	-6.93002	-10.3849	-11.6294	-16.348	-3.47504	-8.49958
13.3684	1.31034	-6.4037	-10.7669	-12.1228	-15.8217	-4.00136	-8.49958
13.8947	1.31034	-5.87739	-11.2454	-12.6483	-15.2954	-4.52768	-8.49958
14.4211	1.31034	-5.35107	-11.7663	-13.1868	-14.7691	-5.05399	-8.49958
14.9474	1.31034	-4.82476	-12.3031	-13.73	-14.2428	-5.58031	-8.49958
15.4737	1.31034	-4.29844	-12.8452	-14.2746	-13.7164	-6.10662	-8.49958
16	1.31034	-3.77212	-13.3889	-14.8194	-13.1901	-6.63294	-8.49958
6	1.37931	-13.9101	-15.2157	-14.4191	-23.2591	3.2981	-8.56854
6.52632	1.37931	-13.3837	-14.6361	-13.8398	-22.7328	2.77178	-8.56854
7.05263	1.37931	-12.8574	-14.1391	-13.3437	-22.2065	2.24546	-8.56854
7.57895	1.37931	-12.3311	-13.652	-12.8595	-21.6801	1.71915	-8.56854
8.10526	1.37931	-11.8048	-13.1657	-12.3827	-21.1538	1.19283	-8.56854
8.63158	1.37931	-11.2785	-12.6787	-11.9247	-20.6275	0.666516	-8.56854
9.15789	1.37931	-10.7522	-12.1911	-11.5109	-20.1012	0.140201	-8.56854
9.68421	1.37931	-10.2258	-11.7048	-11.1618	-19.5749	-0.386115	-8.56854
10.2105	1.37931	-9.69953	-11.2261	-10.8795	-19.0486	-0.912431	-8.56854
10.7368	1.37931	-9.17321	-10.7745	-10.706	-18.5222	-1.43875	-8.56854
11.2632	1.37931	-8.6469	-10.3985	-10.7021	-17.9959	-1.96506	-8.56854
11.7895	1.37931	-8.12058	-10.1775	-10.8769	-17.4696	-2.49138	-8.56854
12.3158	1.37931	-7.59427	-10.1719	-11.2002	-16.9433	-3.01769	-8.56854
12.8421	1.37931	-7.06795	-10.3849	-11.6294	-16.417	-3.54401	-8.56854
13.3684	1.37931	-6.54163	-10.7669	-12.1228	-15.8907	-4.07033	-8.56854
13.8947	1.37931	-6.01532	-11.2454	-12.6483	-15.3644	-4.59664	-8.56854
14.4211	1.37931	-5.489	-11.7663	-13.1868	-14.838	-5.12296	-8.56854
14.9474	1.37931	-4.96269	-12.3031	-13.73	-14.3117	-5.64927	-8.56854
15.4737	1.37931	-4.43637	-12.8452	-14.2746	-13.7854	-6.17559	-8.56854
16	1.37931	-3.91006	-13.3889	-14.8194	-13.2591	-6.7019	-8.56854
6	1.44828	-14.048	-15.2157	-14.4191	-23.3281	3.22913	-8.63751
6.52632	1.44828	-13.5217	-14.6361	-13.8398	-22.8017	2.70281	-8.63751
7.05263	1.44828	-12.9954	-14.1391	-13.3437	-22.2754	2.1765	-8.63751
7.57895	1.44828	-12.469	-13.652	-12.8595	-21.7491	1.65018	-8.63751
8.10526	1.44828	-11.9427	-13.1657	-12.3827	-21.2228	1.12387	-8.63751
8.63158	1.44828	-11.4164	-12.6787	-11.9247	-20.6965	0.597551	-8.63751
9.15789	1.44828	-10.8901	-12.1911	-11.5109	-20.1702	0.0712352	-8.63751
9.68421	1.44828	-10.3638	-11.7048	-11.1618	-19.6438	-0.455081	-8.63751
10.2105	1.44828	-9.83746	-11.2261	-10.8795	-19.1175	-0.981396	-8.63751
10.7368	1.44828	-9.31114	-10.7745	-10.706	-18.5912	-1.50771	-8.63751
11.2632	1.44828	-8.78483	-10.3985	-10.7021	-18.0649	-2.03403	-8.63751
11.7895	1.44828	-8.25851	-10.1775	-10.8769	-17.5386	-2.56034	-8.63751
12.3158	1.44828	-7.7322	-10.1719	-11.2002	-17.0123	-3.08666	-8.63751
12.8421	1.44828	-7.20588	-10.3849	-11.6294	-16.486	-3.61298	-8.63751
13.3684	1.44828	-6.67957	-10.7669	-12.1228	-15.9596	-4.13929	-8.63751
13.8947	1.44828	-6.15325	-11.2454	-12.6483	-15.4333	-4.66561	-8.63751
14.4211	1.44828	-5.62693	-11.7663	-13.1868	-14.907	-5.19192	-8.63751
14.9474	1.44828	-5.10062	-12.3031	-13.73	-14.3807	-5.71824	-8.63751
15.4737	1.44828	-4.5743	-12.8452	-14.2746	-13.8544	-6.24455	-8.63751
16	1.44828	-4.04799	-13.3889	-14.8194	-13.3281	-6.77087	-8.63751
6	1.51724	-14.1859	-15.2157	-14.4191	-23.397	3.16016	-8.70647
6.52632	1.51724	-13.6596	-14.6361	-13.8398	-22.8707	2.63385	-8.70647
7.05263	1.51724	-13.1333	-14.1391	-13.3437	-22.3444	2.10753	-8.70647
7.57895	1.51724	-12.607	-13.652	-12.8595	-21.8181	1.58122	-8.70647
8.10526	1.51724	-12.0807	-13.1657	-12.3827	-21.2918	1.0549	-8.70647
8.63158	1.51724	-11.5543	-12.6787	-11.9247	-20.7654	0.528585	-8.70647
9.15789	1.51724	-11.028	-12.1911	-11.5109	-20.2391	0.00226966	-8.70647
9.68421	1.51724	-10.5017	-11.7048	-11.1618	-19.7128	-0.524046	-8.70647
10.2105	1.51724	-9.97539	-11.2261	-10.8795	-19.1865	-1.05036	-8.70647
10.7368	1.51724	-9.44908	-10.7745	-10.706	-18.6602	-1.57668	-8.70647
11.2632	1.51724	-8.92276	-10.3985	-10.7021	-18.1339	-2.10299	-8.70647
11.7895	1.51724	-8.39644	-10.1775	-10.8769	-17.6075	-2.62931	-8.70647
12.3158	1.51724	-7.87013	-10.1719	-11.2002	-17.0812	-3.15563	-8.70647
12.8421	1.51724	-7.34381	-10.3849	-11.6294	-16.5549	-3.68194	-8.70647
13.3684	1.51724	-6.8175	-10.7669	-12.1228	-16.0286	-4.20826	-8.70647
13.8947	1.51724	-6.29118	-11.2454	-12.6483	-15.5023	-4.73457	-8.70647
14.4211	1.51724	-5.76486	-11.7663	-13.1868	-14.976	-5.26089	-8.70647
14.9474	1.51724	-5.23855	-12.3031	-13.73	-14.4497	-5.7872	-8.70647
15.4737	1.51724	-4.71223	-12.8452	-14.2746	-13.9233	-6.31352	-8.70647
16	1.51724	-4.18592	-13.3889	-14.8194	-13.397	-6.83984	-8.70647
6	1.58621	-14.3238	-15.2157	-14.4191	-23.466	3.0912	-8.77544
6.52632	1.58621	-13.7975	-14.6361	-13.8398	-22.9397	2.56488	-8.77544
7.05263	1.58621	-13.2712	-14.1391	-13.3437	-22.4134	2.03857	-8.77544
7.57895	1.58621	-12.7449	-13.652	-12.8595	-21.887	1.51225	-8.77544
8.10526	1.58621	-12.2186	-13.1657	-12.3827	-21.3607	0.985936	-8.77544
8.63158	1.58621	-11.6923	-12.6787	-11.9247	-20.8344	0.45962	-8.77544
9.15789	1.58621	-11.166	-12.1911	-11.5109	-20.3081	-0.0666959	-8.77544
9.68421	1.58621	-10.6396	-11.7048	-11.1618	-19.7818	-0.593012	-8.77544
10.2105	1.58621	-10.1133	-11.2261	-10.8795	-19.2555	-1.11933	-8.77544
10.7368	1.58621	-9.58701	-10.7745	-10.706	-18.7291	-1.64564	-8.77544
11.2632	1.58621	-9.06069	-10.3985	-10.7021	-18.2028	-2.17196	-8.77544
11.7895	1.58621	-8.53437	-10.1775	-10.8769	-17.6765	-2.69827	-8.77544
12.3158	1.58621	-8.00806	-10.1719	-11.2002	-17.1502	-3.22459	-8.77544
12.8421	1.58621	-7.48174	-10.3849	-11.6294	-16.6239	-3.75091	-8.77544
13.3684	1.58621	-6.95543	-10.7669	-12.1228	-16.0976	-4.27722	-8.77544
13.8947	1.58621	-6.42911	-11.2454	-12.6483	-15.5712	-4.80354	-8.77544
14.4211	1.58621	-5.9028	-11.7663	-13.1868	-15.0449	-5.32985	-8.77544
14.9474	1.58621	-5.37648	-12.3031	-13.73	-14.5186	-5.85617	-8.77544
15.4737	1.58621	-4.85016	-12.8452	-14.2746	-13.9923	-6.38249	-8.77544
16	1.58621	-4.32385	-13.3889	-14.8194	-13.466	-6.9088	-8.77544
6	1.65517	-14.4618	-15.2157	-14.4191	-23.535	3.02223	-8.84441
6.52632	1.65517	-13.9355	-14.6361	-13.8398	-23.0086	2.49592	-8.84441
7.05263	1.65517	-13.4091	-14.1391	-13.3437	-22.4823	1.9696	-8.84441
7.57895	1.65517	-12.8828	-13.652	-12.8595	-21.956	1.44329	-8.84441
8.10526	1.65517	-12.3565	-13.1657	-12.3827	-21.4297	0.91697	-8.84441
8.63158	1.65517	-11.8302	-12.6787	-11.9247	-20.9034	0.390654	-8.84441
9.15789	1.65517	-11.3039	-12.1911	-11.5109	-20.3771	-0.135661	-8.84441
9.68421	1.65517	-10.7776	-11.7048	-11.1618	-19.8507	-0.661977	-8.84441
10.2105	1.65517	-10.2513	-11.2261	-10.8795	-19.3244	-1.18829	-8.84441
10.7368	1.65517	-9.72494	-10.7745	-10.706	-18.7981	-1.71461	-8.84441
11.2632	1.65517	-9.19862	-10.3985	-10.7021	-18.2718	-2.24092	-8.84441
11.7895	1.65517	-8.67231	-10.1775	-10.8769	-17.7455	-2.76724	-8.84441
12.3158	1.65517	-8.14599	-10.1719	-11.2002	-17.2192	-3.29356	-8.84441
12.8421	1.65517	-7.61967	-10.3849	-11.6294	-16.6928	-3.81987	-8.84441
13.3684	1.65517	-7.09336	-10.7669	-12.1228	-16.1665	-4.34619	-8.84441
13.8947	1.65517	-6.56704	-11.2454	-12.6483	-15.6402	-4.8725	-8.84441
14.4211	1.65517	-6.04073	-11.7663	-13.1868	-15.1139	-5.39882	-8.84441
14.9474	1.65517	-5.51441	-12.3031	-13.73	-14.5876	-5.92514	-8.84441
15.4737	1.65517	-4.9881	-12.8452	-14.2746	-14.0613	-6.45145	-8.84441
16	1.65517	-4.46178	-13.3889	-14.8194	-13.535	-6.97777	-8.84441
6	1.72414	-14.5997	-15.2157	-14.4191	-23.6039	2.95327	-8.91337
6.52632	1.72414	-14.0734	-14.6361	-13.8398	-23.0776	2.42695	-8.91337
7.05263	1.72414	-13.5471	-14.1391	-13.3437	-22.5513	1.90064	-8.91337
7.57895	1.72414	-13.0208	-13.652	-12.8595	-22.025	1.37432	-8.91337
8.10526	1.72414	-12.4944	-13.1657	-12.3827	-21.4987	0.848005	-8.91337
8.63158	1.72414	-11.9681	-12.6787	-11.9247	-20.9723	0.321689	-8.91337
9.15789	1.72414	-11.4418	-12.1911	-11.5109	-20.446	-0.204627	-8.91337
9.68421	1.72414	-10.9155	-11.7048	-11.1618	-19.9197	-0.730943	-8.91337
10.2105	1.72414	-10.3892	-11.2261	-10.8795	-19.3934	-1.25726	-8.91337
10.7368	1.72414	-9.86287	-10.7745	-10.706	-18.8671	-1.78357	-8.91337
11.2632	1.72414	-9.33655	-10.3985	-10.7021	-18.3408	-2.30989	-8.91337
11.7895	1.72414	-8.81024	-10.1775	-10.8769	-17.8144	-2.83621	-8.91337
12.3158	1.72414	-8.28392	-10.1719	-11.2002	-17.2881	-3.36252	-8.91337
12.8421	1.72414	-7.75761	-10.3849	-11.6294	-16.7618	-3.88884	-8.91337
13.3684	1.72414	-7.23129	-10.7669	-12.1228	-16.2355	-4.41515	-8.91337
13.8947	1.72414	-6.70497	-11.2454	-12.6483	-15.7092	-4.94147	-8.91337
14.4211	1.72414	-6.17866	-11.7663	-13.1868	-15.1829	-5.46778	-8.91337
14.9474	1.72414	-5.65234	-12.3031	-13.73	-14.6565	-5.9941	-8.91337
15.4737	1.72414	-5.12603	-12.8452	-14.2746	-14.1302	-6.52042	-8.91337
16	1.72414	-4.59971	-13.3889	-14.8194	-13.6039	-7.04673	-8.91337
6	1.7931	-14.7376	-15.2157	-14.4191	-23.6729	2.8843	-8.98234
6.52632	1.7931	-14.2113	-14.6361	-13.8398	-23.1466	2.35799	-8.98234
7.05263	1.7931	-13.685	-14.1391	-13.3437	-22.6203	1.83167	-8.98234
7.57895	1.7931	-13.1587	-13.652	-12.8595	-22.0939	1.30535	-8.98234
8.10526	1.7931	-12.6324	-13.1657	-12.3827	-21.5676	0.779039	-8.98234
8.63158	1.7931	-12.1061	-12.6787	-11.9247	-21.0413	0.252723	-8.98234
9.15789	1.7931	-11.5797	-12.1911	-11.5109	-20.515	-0.273592	-8.98234
9.68421	1.7931	-11.0534	-11.7048	-11.1618	-19.9887	-0.799908	-8.98234
10.2105	1.7931	-10.5271	-11.2261	-10.8795	-19.4624	-1.32622	-8.98234
10.7368	1.7931	-10.0008	-10.7745	-10.706	-18.936	-1.85254	-8.98234
11.2632	1.7931	-9.47448	-10.3985	-10.7021	-18.4097	-2.37886	-8.98234
11.7895	1.7931	-8.94817	-10.1775	-10.8769	-17.8834	-2.90517	-8.98234
12.3158	1.7931	-8.42185	-10.1719	-11.2002	-17.3571	-3.43149	-8.98234
12.8421	1.7931	-7.89554	-10.3849	-11.6294	-16.8308	-3.9578	-8.98234
13.3684	1.7931	-7.36922	-10.7669	-12.1228	-16.3045	-4.48412	-8.98234
13.8947	1.7931	-6.8429	-11.2454	-12.6483	-15.7781	-5.01043	-8.98234
14.4211	1.7931	-6.31659	-11.7663	-13.1868	-15.2518	-5.53675	-8.98234
14.9474	1.7931	-5.79027	-12.3031	-13.73	-14.7255	-6.06307	-8.98234
15.4737	1.7931	-5.26396	-12.8452	-14.2746	-14.1992	-6.58938	-8.98234
16	1.7931	-4.73764	-13.3889	-14.8194	-13.6729	-7.1157	-8.98234
6	1.86207	-14.8756	-15.2157	-14.4191	-23.7418	2.81534	-9.0513
6.52632	1.86207	-14.3493	-14.6361	-13.8398	-23.2155	2.28902	-9.0513
7.05263	1.86207	-13.8229	-14.1391	-13.3437	-22.6892	1.76271	-9.0513
7.57895	1.86207	-13.2966	-13.652	-12.8595	-22.1629	1.23639	-9.0513
8.10526	1.86207	-12.7703	-13.1657	-12.3827	-21.6366	0.710074	-9.0513
8.63158	1.86207	-12.244	-12.6787	-11.9247	-21.1103	0.183758	-9.0513
9.15789	1.86207	-11.7177	-12.1911	-11.5109	-20.584	-0.342558	-9.0513
9.68421	1.86207	-11.1914	-11.7048	-11.1618	-20.0576	-0.868874	-9.0513
10.2105	1.86207	-10.665	-11.2261	-10.8795	-19.5313	-1.39519	-9.0513
10.7368	1.86207	-10.1387	-10.7745	-10.706	-19.005	-1.92151	-9.0513
11.2632	1.86207	-9.61241	-10.3985	-10.7021	-18.4787	-2.44782	-9.0513
11.7895	1.86207	-9.0861	-10.1775	-10.8769	-17.9524	-2.97414	-9.0513
12.3158	1.86207	-8.55978	-10.1719	-11.2002	-17.4261	-3.50045	-9.0513
12.8421	1.86207	-8.03347	-10.3849	-11.6294	-16.8997	-4.02677	-9.0513
13.3684	1.86207	-7.50715	-10.7669	-12.1228	-16.3734	-4.55308	-9.0513
13.8947	1.86207	-6.98084	-11.2454	-12.6483	-15.8471	-5.0794	-9.0513
14.4211	1.86207	-6.45452	-11.7663	-13.1868	-15.3208	-5.60572	-9.0513
14.9474	1.86207	-5.9282	-12.3031	-13.73	-14.7945	-6.13203	-9.0513
15.4737	1.86207	-5.40189	-12.8452	-14.2746	-14.2682	-6.65835	-9.0513
16	1.86207	-4.87557	-13.3889	-14.8194	-13.7418	-7.18466	-9.0513
6	1.93103	-15.0135	-15.2157	-14.4191	-23.8108	2.74637	-9.12027
6.52632	1.93103	-14.4872	-14.6361	-13.8398	-23.2845	2.22006	-9.12027
7.05263	1.93103	-13.9609	-14.1391	-13.3437	-22.7582	1.69374	-9.12027
7.57895	1.93103	-13.4346	-13.652	-12.8595	-22.2319	1.16742	-9.12027
8.10526	1.93103	-12.9082	-13.1657	-12.3827	-21.7056	0.641108	-9.12027
8.63158	1.93103	-12.3819	-12.6787	-11.9247	-21.1792	0.114792	-9.12027
9.15789	1.93103	-11.8556	-12.1911	-11.5109	-20.6529	-0.411523	-9.12027
9.68421	1.93103	-11.3293	-11.7048	-11.1618	-20.1266	-0.937839	-9.12027
10.2105	1.93103	-10.803	-11.2261	-10.8795	-19.6003	-1.46416	-9.12027
10.7368	1.93103	-10.2767	-10.7745	-10.706	-19.074	-1.99047	-9.12027
11.2632	1.93103	-9.75035	-10.3985	-10.7021	-18.5477	-2.51679	-9.12027
11.7895	1.93103	-9.22403	-10.1775	-10.8769	-18.0213	-3.0431	-9.12027
12.3158	1.93103	-8.69771	-10.1719	-11.2002	-17.495	-3.56942	-9.12027
12.8421	1.93103	-8.1714	-10.3849	-11.6294	-16.9687	-4.09573	-9.12027
13.3684	1.93103	-7.64508	-10.7669	-12.1228	-16.4424	-4.62205	-9.12027
13.8947	1.93103	-7.11877	-11.2454	-12.6483	-15.9161	-5.14837	-9.12027
14.4211	1.93103	-6.59245	-11.7663	-13.1868	-15.3898	-5.67468	-9.12027
14.9474	1.93103	-6.06614	-12.3031	-13.73	-14.8634	-6.201	-9.12027
15.4737	1.93103	-5.53982	-12.8452	-14.2746	-14.3371	-6.72731	-9.12027
16	1.93103	-5.0135	-13.3889	-14.8194	-13.8108	-7.25363	-9.12027
6	2	-15.1514	-15.2157	-14.4191	-23.8798	2.67741	-9.18923
6.52632	2	-14.6251	-14.6361	-13.8398	-23.3535	2.15109	-9.18923
7.05263	2	-14.0988	-14.1391	-13.3437	-22.8271	1.62477	-9.18923
7.57895	2	-13.5725	-13.652	-12.8595	-22.3008	1.09846	-9.18923
8.10526	2	-13.0462	-13.1657	-12.3827	-21.7745	0.572143	-9.18923
8.63158	2	-12.5199	-12.6787	-11.9247	-21.2482	0.0458268	-9.18923
9.15789	2	-11.9935	-12.1911	-11.5109	-20.7219	-0.480489	-9.18923
9.68421	2	-11.4672	-11.7048	-11.1618	-20.1956	-1.0068	-9.18923
10.2105	2	-10.9409	-11.2261	-10.8795	-19.6693	-1.53312	-9.18923
10.7368	2	-10.4146	-10.7745	-10.706	-19.1429	-2.05944	-9.18923
11.2632	2	-9.88828	-10.3985	-10.7021	-18.6166	-2.58575	-9.18923
11.7895	2	-9.36196	-10.1775	-10.8769	-18.0903	-3.11207	-9.18923
12.3158	2	-8.83565	-10.1719	-11.2002	-17.564	-3.63838	-9.18923
12.8421	2	-8.30933	-10.3849	-11.6294	-17.0377	-4.1647	-9.18923
13.3684	2	-7.78301	-10.7669	-12.1228	-16.5114	-4.69102	-9.18923
13.8947	2	-7.2567	-11.2454	-12.6483	-15.985	-5.21733	-9.18923
14.4211	2	-6.73038	-11.7663	-13.1868	-15.4587	-5.74365	-9.18923
14.9474	2	-6.20407	-12.3031	-13.73	-14.9324	-6.26996	-9.18923
15.4737	2	-5.67775	-12.8452	-14.2746	-14.4061	-6.79628	-9.18923
16	2	-5.15143	-13.3889	-14.8194	-13.8798	-7.32259	-9.18923
