z [pc] 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
10	0	0	1.41986e+18	0.2	0.039936	1.31752e+41
10.3339	1.0926	0.417369	1.80134e+18	0.255	0.0606332	1.33188e+42
10.679	2.22168	0.58095	2.08363e+18	0.298	0.0772565	2.17664e+42
11.0356	3.38846	0.708223	2.33683e+18	0.329	0.0878386	2.83477e+42
11.404	4.59421	0.817905	2.57533e+18	0.354	0.094845	3.39533e+42
11.7848	5.84021	0.903305	2.79544e+18	0.378	0.100781	3.87206e+42
12.1783	7.12782	0.983583	3.01036e+18	0.399	0.104621	4.28466e+42
12.585	8.45843	1.05931	3.22148e+18	0.418	0.10695	4.64306e+42
13.0052	9.83346	1.12356	3.4233e+18	0.437	0.108791	4.93523e+42
13.4395	11.2544	1.18402	3.62209e+18	0.455	0.109707	5.17722e+42
13.8882	12.7228	1.24248	3.81975e+18	0.472	0.109769	5.37662e+42
14.352	14.2402	1.3003	4.01791e+18	0.488	0.109059	5.54062e+42
14.8312	15.8083	1.35317	4.21244e+18	0.504	0.108029	5.65767e+42
15.3264	17.4288	1.4019	4.40397e+18	0.52	0.106696	5.73078e+42
15.8382	19.1033	1.45248	4.59898e+18	0.535	0.104755	5.78305e+42
16.3671	20.8338	1.50549	4.79855e+18	0.549	0.102292	5.81983e+42
16.9136	22.6221	1.5506	4.99098e+18	0.564	0.0999444	5.80327e+42
17.4783	24.4701	1.59896	5.18914e+18	0.578	0.0971536	5.77787e+42
18.0619	26.3797	1.6455	5.38721e+18	0.592	0.0942325	5.72545e+42
18.6651	28.3532	1.69049	5.58549e+18	0.606	0.0911952	5.64839e+42
19.2883	30.3925	1.73419	5.78428e+18	0.62	0.0880554	5.54902e+42
19.9324	32.5	1.78218	5.99106e+18	0.633	0.0846612	5.45231e+42
20.5979	34.6778	1.82927	6.19922e+18	0.646	0.0812303	5.33777e+42
21.2857	36.9283	1.87025	6.40143e+18	0.66	0.0778991	5.18428e+42
21.9965	39.254	1.92141	6.62061e+18	0.672	0.0742994	5.06228e+42
22.7309	41.6573	1.96674	6.83428e+18	0.685	0.0708183	4.90466e+42
23.4899	44.1409	2.01174	7.05023e+18	0.698	0.0673383	4.73584e+42
24.2743	46.7074	2.06193	7.2769e+18	0.71	0.0638108	4.57984e+42
25.0848	49.3596	2.10661	7.49819e+18	0.723	0.0603728	4.3926e+42
25.9225	52.1004	2.15671	7.73095e+18	0.735	0.0569314	4.22033e+42
26.788	54.9327	2.20689	7.96714e+18	0.747	0.053548	4.0415e+42
27.6825	57.8595	2.25725	8.20696e+18	0.759	0.0502266	3.8571e+42
28.6069	60.8841	2.30787	8.4506e+18	0.771	0.0469711	3.66804e+42
29.5621	64.0097	2.35882	8.69825e+18	0.783	0.0437848	3.47518e+42
30.5492	67.2396	2.41569	8.9596e+18	0.794	0.0407038	3.30027e+42
31.5693	70.5774	2.46752	9.21604e+18	0.806	0.0376746	3.1018e+42
32.6234	74.0267	2.52545	9.48696e+18	0.817	0.034774	2.92206e+42
33.7127	77.5911	2.58403	9.76307e+18	0.828	0.0319689	2.74066e+42
34.8384	81.2746	2.64333	1.00446e+19	0.839	0.0292593	2.55815e+42
36.0017	85.081	2.70908	1.03421e+19	0.849	0.0267186	2.39446e+42
37.2038	89.0145	2.77	1.06353e+19	0.86	0.0242054	2.21082e+42
38.4461	93.0794	2.83758	1.09453e+19	0.87	0.0218708	2.04623e+42
39.7299	97.2801	2.9062	1.12621e+19	0.88	0.0196391	1.8816e+42
41.0565	101.621	2.98181	1.15972e+19	0.889	0.0176005	1.73551e+42
42.4274	106.107	3.05272	1.19282e+19	0.899	0.0155711	1.57145e+42
43.8441	110.742	3.13692	1.22906e+19	0.907	0.0138334	1.44359e+42
45.3081	115.533	3.21653	1.26494e+19	0.916	0.0120979	1.29827e+42
46.821	120.483	3.2976	1.30166e+19	0.925	0.0104565	1.15367e+42
48.3844	125.599	3.39279	1.34182e+19	0.932	0.00910876	1.04377e+42
50	130.885	3.48351	1.38168e+19	0.94	0.00774921	9.17259e+41
Lnt total	1.86426e+44
