log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	10	0	35.1542	0	0	0
-5.77778	10	0	35.2658	0	0	23.0448
-5.55556	10	0	35.3759	0	0	23.6383
-5.33333	10	0	35.4926	0	0	24.1161
-5.11111	10	0	35.6056	0	0	24.5486
-4.88889	10	0	35.715	0	0	24.9546
-4.66667	10	0	35.8308	0	0	25.338
-4.44444	10	0	35.9447	0	0	25.6872
-4.22222	10	0	36.0517	0	0	26.005
-4	10	0	36.1635	0	0	26.3082
-3.77778	10	0	36.2777	0	0	26.5986
-3.55556	10	0	36.3852	0	22.2759	26.837
-3.33333	10	0	36.496	0	23.2348	27.0763
-3.11111	10	0	36.6123	0	24.0489	27.3128
-2.88889	10	0	36.7219	0	24.8005	27.5124
-2.66667	10	0	36.8302	0	25.5158	27.7105
-2.44444	10	0	36.9446	0	26.2063	27.9046
-2.22222	10	0	37.0541	0	26.8773	28.0834
-2	10	0	37.1604	0	27.5295	28.2581
-1.77778	10	0	37.2749	0	28.1596	28.4269
-1.55556	10	0	37.389	21.6147	28.759	28.599
-1.33333	10	0	37.4976	23.0804	29.3129	28.7512
-1.11111	10	0	37.6107	23.9182	29.8041	28.9029
-0.888889	10	0	37.7244	24.6558	30.2284	29.063
-0.666667	10	0	37.8305	25.3533	30.6083	29.2061
-0.444444	10	0	37.9401	26.0298	30.9653	29.3532
-0.222222	10	0	38.0553	26.6926	31.2998	29.5033
2.89298e-16	10	0	38.1645	27.3434	31.6083	29.6294
0.222222	10	0	38.2738	27.9805	31.8901	29.7819
0.444444	10	0	38.3886	28.598	32.1479	29.9239
0.666667	10	0	38.4973	29.1849	32.3911	30.0604
0.888889	10	0	38.6017	29.7244	32.6016	30.1962
1.11111	10	0	38.7123	30.1997	32.7869	30.3299
1.33333	10	0	38.82	30.6116	32.9774	30.4661
1.55556	10	0	38.9205	30.9853	33.1466	30.5995
1.77778	10	0	39.0248	31.3369	33.2842	30.7286
2	10	0	39.1264	31.6667	33.4348	30.867
2.22222	10	0	39.2142	31.9684	33.5774	30.993
2.44444	10	0	39.2985	32.2443	33.719	31.1249
2.66667	10	0	39.3801	32.5007	33.8353	31.2662
2.88889	10	0	39.4439	32.7339	33.9729	31.3522
3.11111	10	0	39.4983	32.9406	34.104	31.5154
3.33333	10	0	39.556	33.1219	34.218	31.6399
3.55556	10	0	39.5992	33.3077	34.3301	31.7687
3.77778	10	0	39.6249	33.4803	34.4681	31.8889
4	10	0	39.6534	33.6175	34.5674	32.0218
4.22222	10	0	39.6732	33.7701	34.6801	32.1457
4.44444	10	0	39.6689	33.9157	34.829	32.2665
4.66667	10	0	39.6664	34.0485	34.8786	32.3927
4.88889	10	0	39.6732	34.1645	35.0266	32.5136
5.11111	10	0	39.6605	34.2852	35.1305	32.6382
5.33333	10	0	39.6406	34.4203	35.2735	32.7555
5.55556	10	0	39.6304	34.5227	35.3869	32.8774
5.77778	10	0	39.5974	34.6479	35.5018	32.9952
6	10	0	39.5397	34.788	35.6322	33.1173
6.22222	10	0	39.4942	34.8609	35.7057	33.2213
6.44444	10	0	39.4396	35.0034	35.8489	33.345
6.66667	10	0	39.349	35.1412	35.9491	33.4541
6.88889	10	0	39.2565	35.2083	36.0692	33.5695
7.11111	10	0	39.1546	35.3534	36.1639	33.6785
7.33333	10	0	38.9662	35.4228	36.308	33.7796
7.55556	10	0	38.6685	35.5568	36.3783	33.8924
7.77778	10	0	38.3069	35.6108	36.4895	33.9924
8	10	0	37.85	35.7688	36.6321	34.0988
8.22222	10	0	37.2099	35.7981	36.7624	34.2017
8.44444	10	0	36.0852	35.9533	36.8394	34.2989
8.66667	10	0	34.0255	36.025	36.9368	34.392
8.88889	10	0	30.3921	36.1448	37.0715	34.4834
9.11111	10	0	24.1331	36.202	37.1681	34.5838
9.33333	10	0	13.4947	36.2532	37.3029	34.6705
9.55556	10	0	-4.44931	36.3081	37.3471	34.7436
9.77778	10	0	-34.5796	36.3774	37.4973	34.8362
10	10	0	-85.038	36.3546	37.6001	34.9194
10.2222	10	0	-169.406	36.4432	37.759	34.9905
10.4444	10	0	0	36.3318	37.7734	35.065
10.6667	10	0	0	36.4267	37.9146	35.1402
10.8889	10	0	0	36.2871	38	35.1651
11.1111	10	0	0	36.4758	38.0166	35.2546
11.3333	10	0	0	36.3365	38.1149	35.2872
11.5556	10	0	0	36.6033	38.1617	35.3212
11.7778	10	0	0	35.8236	38.1997	35.3198
12	10	0	0	35.6223	38.1802	35.3417
12.2222	10	0	0	35.8596	38.1222	35.3613
12.4444	10	0	0	35.7348	38.2173	35.2478
12.6667	10	0	0	34.5057	38.0072	35.167
12.8889	10	0	0	34.581	38.0432	35.041
13.1111	10	0	0	34.2082	37.7347	34.9423
13.3333	10	0	0	34.4133	37.7959	34.8128
13.5556	10	0	0	34.7797	36.8574	34.655
13.7778	10	0	0	32.4697	36.3957	34.4346
14	10	0	0	32.4715	36.4005	34.1948
14.2222	10	0	0	32.0208	35.956	33.8745
14.4444	10	0	0	32.455	36.2689	33.407
14.6667	10	0	0	29.5407	33.5672	32.3528
14.8889	10	0	0	0	0	0
15.1111	10	0	0	0	0	0
15.3333	10	0	0	0	0	0
15.5556	10	0	0	0	0	0
15.7778	10	0	0	0	0	0
16	10	0	0	0	0	0
-5.68757	10.3339	0.417369	36.6378	0	0	0
-5.46535	10.3339	0.417369	36.7487	0	0	24.851
-5.24312	10.3339	0.417369	36.8589	0	0	25.4429
-5.0209	10.3339	0.417369	36.9757	0	0	25.9187
-4.79868	10.3339	0.417369	37.0881	0	0	26.3487
-4.57646	10.3339	0.417369	37.1975	0	0	26.7515
