log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	50	0	37.0708	0	0	0	37.0708
-5.76768	50	0	37.1847	0	0	26.801	37.1847
-5.53535	50	0	37.306	0	0	27.4023	37.306
-5.30303	50	0	37.4236	0	0	27.8866	37.4236
-5.07071	50	0	37.5379	0	0	28.3232	37.5379
-4.83838	50	0	37.6591	0	0	28.727	37.6591
-4.60606	50	0	37.7766	0	0	29.0977	37.7766
-4.37374	50	0	37.8882	0	0	29.4078	37.8882
-4.14141	50	0	38.0066	0	0	29.6991	38.0066
-3.90909	50	0	38.1238	0	0	29.9739	38.1238
-3.67677	50	0	38.2355	0	24.6326	30.2201	38.2355
-3.44444	50	0	38.3541	0	25.8734	30.4501	38.3541
-3.21212	50	0	38.4728	0	26.7752	30.6711	38.4728
-2.9798	50	0	38.5839	0	27.582	30.8846	38.5839
-2.74747	50	0	38.6992	0	28.3406	31.0747	38.6992
-2.51515	50	0	38.8149	0	29.0687	31.264	38.8149
-2.28283	50	0	38.9221	0	29.7743	31.4527	38.9221
-2.05051	50	0	39.0336	0	30.4594	31.6194	39.0336
-1.81818	50	0	39.148	0	31.1216	31.791	39.148
-1.58586	50	0	39.2527	22.5516	31.7518	31.9642	39.2527
-1.35354	50	0	39.3567	25.481	32.3335	32.1203	39.3567
-1.12121	50	0	39.4602	26.3673	32.8454	32.2746	39.4602
-0.888889	50	0	39.5494	27.1371	33.279	32.4365	39.5494
-0.656566	50	0	39.6347	27.8633	33.6579	32.5832	39.6347
-0.424242	50	0	39.7224	28.5675	34.0054	32.7324	39.7224
-0.191919	50	0	39.7953	29.2572	34.3208	32.8849	39.7953
0.040404	50	0	39.8599	29.9339	34.5972	33.0253	39.8599
0.272727	50	0	39.9267	30.5949	34.8377	33.1657	39.9267
0.505051	50	0	39.9757	31.2319	35.0655	33.3118	39.9757
0.737374	50	0	40.0101	31.8299	35.2726	33.4487	40.0101
0.969697	50	0	40.0516	32.3674	35.4633	33.5879	40.0516
1.20202	50	0	40.0822	32.8276	35.6314	33.7293	40.0822
1.43434	50	0	40.0978	33.2223	35.8078	33.8581	40.0979
1.66667	50	0	40.1252	33.5802	35.9673	33.9928	40.1252
1.89899	50	0	40.1474	33.9067	36.1053	34.1273	40.1474
2.13131	50	0	40.149	34.1968	36.2585	34.2538	40.1491
2.36364	50	0	40.1588	34.4519	36.3939	34.3859	40.1588
2.59596	50	0	40.1689	34.678	36.5022	34.5191	40.169
2.82828	50	0	40.1592	34.9021	36.6411	34.6411	40.1594
3.06061	50	0	40.16	35.0957	36.7794	34.7729	40.1602
3.29293	50	0	40.1712	35.2635	36.905	34.8992	40.1715
3.52525	50	0	40.1637	35.443	37.0149	35.0128	40.1641
3.75758	50	0	40.1593	35.607	37.1576	35.1335	40.1597
