log(E/eV)	Synchr	IC	IC - IR	SSC
-5.23134	42.7487	15.7643	22.5754	0	42.7487
-4.98892	42.8744	16.4916	23.3027	32.977	42.8744
-4.74649	43.0062	17.2189	24.0299	33.5926	43.0062
-4.50407	43.1249	17.9461	24.7571	34.0903	43.1249
-4.26164	43.2425	18.6734	25.4843	34.5394	43.2425
-4.01922	43.3702	19.4007	26.2113	34.9504	43.3702
-3.77679	43.4889	20.128	26.9382	35.3316	43.4889
-3.53437	43.6018	20.8552	27.6649	35.6404	43.6018
-3.29195	43.7278	21.5825	28.391	35.9359	43.7278
-3.04952	43.8534	22.3097	29.1164	36.2136	43.8534
-2.8071	43.9688	23.037	29.8403	36.472	43.9688
-2.56467	44.0906	23.7642	30.5616	36.696	44.0906
-2.32225	44.2142	24.4914	31.2786	36.9158	44.2142
-2.07983	44.3226	25.2186	31.9879	37.1453	44.3226
-1.8374	44.4309	25.9456	32.6841	37.3266	44.4309
-1.59498	44.5481	26.6726	33.3584	37.5239	44.5481
-1.35255	44.6522	27.3992	33.9991	37.7151	44.6522
-1.11013	44.7477	28.1253	34.5981	37.892	44.7477
-0.867704	44.8526	28.8506	35.1588	38.0653	44.8526
-0.62528	44.9462	29.5745	35.6802	38.233	44.9462
-0.382855	45.0178	30.2958	36.1391	38.397	45.0178
-0.140431	45.0918	31.0126	36.5153	38.5522	45.0918
0.101993	45.1636	31.7217	36.8288	38.7128	45.1636
0.344417	45.2071	32.4174	37.1097	38.8764	45.2071
0.586842	45.2444	33.0911	37.3632	39.0226	45.2444
0.829266	45.2984	33.7309	37.5916	39.1722	45.2984
1.07169	45.3351	34.3289	37.7978	39.3248	45.3351
1.31411	45.3544	34.8888	37.9852	39.4675	45.3544
1.55654	45.389	35.409	38.1577	39.6075	45.389
1.79896	45.4142	35.8661	38.3202	39.7498	45.4142
2.04139	45.4085	36.2404	38.4759	39.8902	45.4085
2.28381	45.4126	36.5529	38.6247	40.0251	45.4126
2.52624	45.4333	36.8331	38.7666	40.156	45.4333
2.76866	45.4297	37.086	38.9023	40.2924	45.4297
3.01108	45.4258	37.3139	39.0327	40.425	45.4258
3.25351	45.4506	37.5196	39.1588	40.5535	45.4506
3.49593	45.456	37.7065	39.2824	40.6891	45.456
3.73836	45.4404	37.8788	39.4066	40.8093	45.4404
3.98078	45.4485	38.0411	39.5341	40.9416	45.4485
4.22321	45.4519	38.1967	39.6625	41.0724	45.4519
4.46563	45.4268	38.3453	39.7888	41.1764	45.4269
4.70805	45.4203	38.487	39.9126	41.3158	45.4203
4.95048	45.4348	38.6226	40.0337	41.4414	45.4348
5.1929	45.4269	38.7529	40.1526	41.5438	45.4269
5.43533	45.4199	38.8789	40.2702	41.6634	45.42
5.67775	45.4325	39.0024	40.389	41.7782	45.4326
5.92017	45.4178	39.1267	40.512	41.884	45.4179
6.1626	45.3826	39.2543	40.6377	41.9952	45.3828
6.40502	45.3761	39.3827	40.762	42.1022	45.3764
6.64745	45.3633	39.5089	40.8836	42.2033	45.3637
6.88987	45.3225	39.6273	40.9967	42.3124	45.3229
7.1323	45.3032	39.7443	41.1183	42.409	45.3038
7.37472	45.2939	39.8746	41.2171	42.5073	45.2947
7.61714	45.2417	39.9847	41.3443	42.6062	45.2428
7.85957	45.1793	40.1063	41.4406	42.7009	45.1808
8.10199	45.1386	40.2351	41.5489	42.759	45.1405
8.34442	45.0557	40.3506	41.6407	42.8876	45.0588
8.58684	44.9275	40.4621	41.7277	42.9586	44.9324
8.82927	44.8307	40.5802	41.8018	43.0354	44.838
9.07169	44.7264	40.6998	41.8754	43.1166	44.7376
9.31411	44.5581	40.8172	41.9264	43.1811	44.577
9.55654	44.38	40.9311	41.9821	43.2492	44.4128
9.79896	44.2108	41.0427	42.0222	43.3095	44.2649
10.0414	43.9349	41.1493	42.0536	43.3656	44.0436
10.2838	43.4773	41.2514	42.0797	43.4011	43.7526
10.5262	42.94	41.3448	42.1013	43.4277	43.5678
10.7687	42.2786	41.4309	42.1184	43.4376	43.4896
11.0111	41.5139	41.5087	42.13	43.4462	43.4762
11.2535	40.2528	41.5716	42.138	43.4479	43.4744
11.4959	37.826	41.5559	42.1434	43.4098	43.4384
11.7384	33.3437	41.3572	42.1494	43.338	43.3695
11.9808	25.2691	40.9827	42.1484	43.3172	43.3476
12.2232	10.9168	40.5054	42.1557	43.2141	43.2513
12.4656	-14.4058	39.9739	42.1503	43.152	43.1935
12.7081	-58.8995	39.3973	42.1504	43.0227	43.0774
12.9505	-136.895	38.7782	42.1507	42.9364	43.0023
13.1929	-273.436	38.1178	42.1481	42.8725	42.9476
13.4353	0	37.417	42.1323	42.712	42.8135
13.6778	0	36.7124	42.0128	42.6537	42.7431
13.9202	0	35.9864	41.7081	42.489	42.5556
14.1626	0	35.2479	41.2582	42.3163	42.3527
14.405	0	34.4909	40.7117	42.237	42.2498
14.6474	0	33.7246	40.1137	42.0206	42.026
14.8899	0	32.9441	39.4731	41.8993	41.9009
15.1323	0	32.1437	38.7789	41.601	41.6016
15.3747	0	31.3025	38.0089	41.105	41.1054
15.6171	0	30.3998	37.15	40.8432	40.8433
15.8596	0	29.4085	36.1844	40.2859	40.2859
16.102	0	28.2891	35.0798	39.8377	39.8377
16.3444	0	26.987	33.7862	38.9544	38.9544
16.5868	0	25.3608	32.1649	0	32.1649
16.8293	0	0	0	0	0
17.0717	0	0	0	0	0
17.3141	0	0	0	0	0
17.5565	0	0	0	0	0
17.799	0	0	0	0	0
18.0414	0	0	0	0	0
18.2838	0	0	0	0	0
18.5262	0	0	0	0	0
18.7687	0	0	0	0	0
