t_obs [yr]	z [pc] 	t_lab [yr]	Rc/Rj	g=Gc/Gj	rho_c	rho_j	Lnt	Lnt_obs
0	50	0	0.0286371	0.1	2.66887e-23	4.94928e-28	7.01681e+40	6.80456e+40
244.101	51.7476	5.71846	0.154284	0.100027	1.92573e-24	4.62063e-28	3.95207e+41	3.83373e+41
342.902	53.5563	11.6368	0.221539	0.10017	1.01102e-24	4.3138e-28	6.02573e+41	5.85005e+41
411.507	55.4283	17.762	0.26697	0.100367	6.90776e-25	4.02735e-28	7.5638e+41	7.34887e+41
466.441	57.3656	24.1013	0.299893	0.100601	5.24599e-25	3.75992e-28	8.7643e+41	8.52155e+41
513.536	59.3707	30.6621	0.324396	0.100859	4.21712e-25	3.51025e-28	9.71385e+41	9.45159e+41
555.568	61.4458	37.4523	0.342753	0.101136	3.51228e-25	3.27715e-28	1.04635e+42	1.01881e+42
594.087	63.5935	44.4798	0.356403	0.101428	2.99665e-25	3.05954e-28	1.10484e+42	1.07648e+42
630.058	65.8163	51.753	0.366341	0.10173	2.60167e-25	2.85637e-28	1.14949e+42	1.12071e+42
664.122	68.1167	59.2803	0.373289	0.102041	2.28863e-25	2.6667e-28	1.1824e+42	1.15352e+42
696.731	70.4976	67.0708	0.377795	0.102358	2.03398e-25	2.48962e-28	1.20529e+42	1.17657e+42
728.218	72.9616	75.1335	0.380289	0.102681	1.82249e-25	2.3243e-28	1.21963e+42	1.19126e+42
758.835	75.5118	83.4781	0.381112	0.103007	1.64389e-25	2.16996e-28	1.22666e+42	1.19879e+42
788.78	78.1512	92.1143	0.380544	0.103336	1.49098e-25	2.02587e-28	1.22744e+42	1.2002e+42
818.212	80.8827	101.052	0.378813	0.103668	1.35854e-25	1.89134e-28	1.22291e+42	1.19639e+42
847.26	83.7098	110.303	0.376112	0.104001	1.2427e-25	1.76575e-28	1.21388e+42	1.18814e+42
876.034	86.6357	119.877	0.3726	0.104336	1.14054e-25	1.6485e-28	1.20104e+42	1.17613e+42
904.624	89.6638	129.785	0.368414	0.10467	1.04978e-25	1.53903e-28	1.18502e+42	1.16097e+42
933.112	92.7978	140.04	0.36367	0.105006	9.68658e-26	1.43683e-28	1.16635e+42	1.14317e+42
961.565	96.0413	150.653	0.358466	0.105341	8.9574e-26	1.34142e-28	1.1455e+42	1.1232e+42
990.047	99.3982	161.637	0.352888	0.105675	8.29881e-26	1.25235e-28	1.12289e+42	1.10146e+42
1018.61	102.872	173.005	0.347008	0.10601	7.70144e-26	1.16919e-28	1.09886e+42	1.07829e+42
1047.31	106.468	184.771	0.34089	0.106344	7.15754e-26	1.09155e-28	1.07373e+42	1.05401e+42
1076.19	110.189	196.947	0.334588	0.106676	6.66064e-26	1.01907e-28	1.04778e+42	1.02888e+42
1105.3	114.041	209.55	0.328149	0.107009	6.20531e-26	9.51397e-29	1.02122e+42	1.00313e+42
1134.66	118.027	222.592	0.321614	0.10734	5.78693e-26	8.88221e-29	9.94278e+41	9.76956e+41
1164.33	122.152	236.091	0.315017	0.10767	5.40158e-26	8.2924e-29	9.67114e+41	9.50538e+41
1194.34	126.422	250.062	0.30839	0.107999	5.04587e-26	7.74175e-29	9.39882e+41	9.24024e+41
1224.71	130.84	264.52	0.301757	0.108326	4.71688e-26	7.22767e-29	9.12712e+41	8.9754e+41
1255.5	135.414	279.484	0.295143	0.108653	4.41204e-26	6.74773e-29	8.85711e+41	8.71197e+41
1286.72	140.147	294.971	0.288565	0.108979	4.12914e-26	6.29966e-29	8.58974e+41	8.45087e+41
1318.4	145.045	311	0.282041	0.109303	3.86622e-26	5.88134e-29	8.32578e+41	8.19288e+41
1350.59	150.115	327.589	0.275585	0.109626	3.62155e-26	5.49079e-29	8.06587e+41	7.93866e+41
1383.31	155.362	344.757	0.269208	0.109949	3.39359e-26	5.12619e-29	7.81056e+41	7.68875e+41
1416.59	160.792	362.526	0.26292	0.11027	3.18097e-26	4.78579e-29	7.56029e+41	7.44361e+41
1450.46	166.412	380.915	0.256731	0.11059	2.98246e-26	4.46799e-29	7.3154e+41	7.20358e+41
1484.95	172.228	399.948	0.250646	0.110908	2.79698e-26	4.1713e-29	7.07617e+41	6.96896e+41
1520.1	178.248	419.645	0.244672	0.111226	2.62354e-26	3.89431e-29	6.84281e+41	6.73996e+41
1555.92	184.479	440.031	0.238813	0.111543	2.46123e-26	3.63572e-29	6.61547e+41	6.51675e+41
1592.45	190.927	461.13	0.233072	0.111859	2.30924e-26	3.39429e-29	6.39425e+41	6.29944e+41
1629.73	197.6	482.966	0.227452	0.112174	2.16685e-26	3.1689e-29	6.17922e+41	6.08809e+41
1667.78	204.506	505.566	0.221956	0.112489	2.03338e-26	2.95847e-29	5.97039e+41	5.88275e+41
1706.63	211.654	528.955	0.216584	0.112802	1.90821e-26	2.76202e-29	5.76777e+41	5.68342e+41
1746.32	219.052	553.162	0.211337	0.113115	1.79079e-26	2.57861e-29	5.5713e+41	5.49006e+41
1786.88	226.709	578.214	0.206215	0.113427	1.68059e-26	2.40738e-29	5.38095e+41	5.30264e+41
1828.34	234.633	604.143	0.201217	0.113738	1.57715e-26	2.24752e-29	5.19662e+41	5.12108e+41
1870.73	242.834	630.978	0.196344	0.114049	1.48002e-26	2.09828e-29	5.01822e+41	4.9453e+41
1914.1	251.321	658.75	0.191594	0.114359	1.3888e-26	1.95895e-29	4.84566e+41	4.7752e+41
1958.46	260.106	687.494	0.186966	0.114669	1.30311e-26	1.82887e-29	4.67881e+41	4.61068e+41
2003.86	269.197	717.242	0.182459	0.114978	1.22261e-26	1.70742e-29	4.51754e+41	4.45161e+41
2050.34	278.606	748.03	0.178069	0.115287	1.14698e-26	1.59404e-29	4.36173e+41	4.29787e+41
2097.93	288.344	779.894	0.173797	0.115595	1.07591e-26	1.48819e-29	4.21124e+41	4.14933e+41
2146.67	298.423	812.871	0.16964	0.115904	1.00912e-26	1.38937e-29	4.06593e+41	4.00586e+41
2196.6	308.853	847.002	0.165595	0.116212	9.46361e-27	1.29711e-29	3.92564e+41	3.86732e+41
2247.76	319.648	882.325	0.16166	0.11652	8.87383e-27	1.21098e-29	3.79025e+41	3.73357e+41
2300.18	330.821	918.883	0.157833	0.116828	8.31959e-27	1.13057e-29	3.65959e+41	3.60446e+41
2353.92	342.384	956.719	0.154112	0.117136	7.79878e-27	1.05549e-29	3.53353e+41	3.47987e+41
2409.01	354.351	995.877	0.150494	0.117444	7.3094e-27	9.85404e-30	3.41192e+41	3.35964e+41
2465.5	366.737	1036.4	0.146977	0.117752	6.84959e-27	9.1997e-30	3.29461e+41	3.24365e+41
2523.44	379.555	1078.35	0.143558	0.118061	6.41759e-27	8.5888e-30	3.18147e+41	3.13174e+41
2582.86	392.821	1121.76	0.140235	0.118369	6.01176e-27	8.01848e-30	3.07235e+41	3.02379e+41
2643.83	406.551	1166.68	0.137005	0.118678	5.63056e-27	7.48602e-30	2.96712e+41	2.91967e+41
2706.38	420.761	1213.18	0.133866	0.118987	5.27254e-27	6.98892e-30	2.86564e+41	2.81924e+41
2770.57	435.468	1261.3	0.130815	0.119297	4.93634e-27	6.52483e-30	2.76778e+41	2.72237e+41
2836.45	450.689	1311.11	0.12785	0.119607	4.62067e-27	6.09156e-30	2.67341e+41	2.62895e+41
2904.07	466.441	1362.65	0.124969	0.119918	4.32433e-27	5.68706e-30	2.58242e+41	2.53885e+41
2973.49	482.745	1416	0.122169	0.120229	4.04618e-27	5.30942e-30	2.49467e+41	2.45195e+41
3044.76	499.618	1471.21	0.119448	0.120541	3.78515e-27	4.95685e-30	2.41005e+41	2.36813e+41
3117.94	517.081	1528.35	0.116804	0.120854	3.54022e-27	4.6277e-30	2.32845e+41	2.28729e+41
3193.1	535.154	1587.49	0.114234	0.121168	3.31046e-27	4.3204e-30	2.24975e+41	2.20931e+41
3270.29	553.859	1648.69	0.111736	0.121482	3.09496e-27	4.03351e-30	2.17384e+41	2.1341e+41
3349.58	573.218	1712.04	0.109308	0.121797	2.89288e-27	3.76567e-30	2.10063e+41	2.06155e+41
3431.03	593.253	1777.6	0.106949	0.122114	2.70342e-27	3.51562e-30	2.03001e+41	1.99156e+41
3514.71	613.989	1845.45	0.104655	0.122431	2.52583e-27	3.28217e-30	1.96189e+41	1.92403e+41
3600.68	635.449	1915.67	0.102425	0.12275	2.35941e-27	3.06422e-30	1.89617e+41	1.85888e+41
3689.03	657.66	1988.34	0.100256	0.123069	2.20348e-27	2.86075e-30	1.83277e+41	1.79602e+41
3779.81	680.647	2063.56	0.0981481	0.12339	2.05742e-27	2.67078e-30	1.77158e+41	1.73536e+41
3873.11	704.437	2141.4	0.0960981	0.123712	1.92064e-27	2.49343e-30	1.71254e+41	1.67682e+41
3969.01	729.059	2221.97	0.0941045	0.124036	1.79257e-27	2.32786e-30	1.65556e+41	1.62032e+41
4067.58	754.541	2305.35	0.0921655	0.124361	1.67268e-27	2.17328e-30	1.60057e+41	1.56578e+41
4168.91	780.914	2391.65	0.0902794	0.124687	1.56049e-27	2.02897e-30	1.54748e+41	1.51313e+41
4273.07	808.209	2480.96	0.0884445	0.125015	1.45551e-27	1.89424e-30	1.49623e+41	1.4623e+41
4380.17	836.458	2573.39	0.0866593	0.125345	1.35732e-27	1.76845e-30	1.44675e+41	1.41323e+41
4490.28	865.694	2669.06	0.0849222	0.125676	1.26549e-27	1.65102e-30	1.39897e+41	1.36584e+41
4603.5	895.953	2768.07	0.0832316	0.126009	1.17963e-27	1.54139e-30	1.35282e+41	1.32007e+41
4719.92	927.268	2870.54	0.0815862	0.126343	1.09937e-27	1.43903e-30	1.30825e+41	1.27587e+41
4839.65	959.679	2976.59	0.0799844	0.12668	1.02436e-27	1.34348e-30	1.2652e+41	1.23317e+41
