log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	50	0	34.8743	0	0	0	34.8743
-5.76768	50	0	34.9962	0	0	23.9081	34.9962
-5.53535	50	0	35.1109	0	0	24.51	35.1109
-5.30303	50	0	35.2238	0	0	24.9936	35.2238
-5.07071	50	0	35.3438	0	0	25.4299	35.3438
-4.83838	50	0	35.4586	0	0	25.8336	35.4586
-4.60606	50	0	35.5717	0	0	26.204	35.5717
-4.37374	50	0	35.6928	0	0	26.5138	35.6928
-4.14141	50	0	35.8096	0	0	26.8046	35.8096
-3.90909	50	0	35.9219	0	0	27.0791	35.9219
-3.67677	50	0	36.0409	0	23.9328	27.3252	36.0409
-3.44444	50	0	36.1564	0	25.1735	27.5544	36.1564
-3.21212	50	0	36.2674	0	26.0753	27.7752	36.2674
-2.9798	50	0	36.3867	0	26.8822	27.9888	36.3867
-2.74747	50	0	36.506	0	27.6408	28.1783	36.506
-2.51515	50	0	36.6195	0	28.3688	28.3674	36.6195
-2.28283	50	0	36.7384	0	29.0744	28.5563	36.7384
-2.05051	50	0	36.8562	0	29.7595	28.7224	36.8562
-1.81818	50	0	36.9667	0	30.4217	28.8939	36.9667
-1.58586	50	0	37.0836	21.8517	31.0519	29.0676	37.0836
-1.35354	50	0	37.2033	24.7811	31.6336	29.2234	37.2033
-1.12121	50	0	37.3163	25.6674	32.1455	29.3777	37.3163
-0.888889	50	0	37.4337	26.4372	32.5792	29.5404	37.4337
-0.656566	50	0	37.5532	27.1634	32.958	29.6873	37.5532
-0.424242	50	0	37.6641	27.8676	33.3056	29.837	37.6642
-0.191919	50	0	37.7781	28.5573	33.6209	29.9908	37.7781
0.040404	50	0	37.8965	29.234	33.8974	30.1321	37.8966
0.272727	50	0	38.0076	29.895	34.1378	30.2738	38.0077
0.505051	50	0	38.1207	30.532	34.3656	30.422	38.1208
0.737374	50	0	38.2384	31.13	34.5727	30.5612	38.2385
0.969697	50	0	38.3468	31.6676	34.7634	30.7026	38.3469
1.20202	50	0	38.4526	32.1277	34.9315	30.8477	38.4527
1.43434	50	0	38.5621	32.5224	35.1079	30.9804	38.5622
1.66667	50	0	38.6611	32.8803	35.2674	31.1191	38.6613
1.89899	50	0	38.7551	33.2068	35.4054	31.2585	38.7553
2.13131	50	0	38.8533	33.4969	35.5586	31.3912	38.8535
2.36364	50	0	38.9398	33.752	35.694	31.529	38.9401
2.59596	50	0	39.015	33.9781	35.8024	31.6682	39.0153
2.82828	50	0	39.0911	34.2022	35.9412	31.7941	39.0914
3.06061	50	0	39.1525	34.3958	36.0796	31.9354	39.1528
3.29293	50	0	39.1966	34.5637	36.2052	32.0693	39.1971
3.52525	50	0	39.2456	34.7431	36.315	32.1938	39.2461
3.75758	50	0	39.2875	34.9072	36.4578	32.3202	39.2881
3.9899	50	0	39.3096	35.0402	36.5664	32.4563	39.3105
4.22222	50	0	39.3343	35.1919	36.6779	32.5849	39.3353
4.45455	50	0	39.3531	35.3397	36.8332	32.7099	39.3545
4.68687	50	0	39.3442	35.4704	36.8926	32.841	39.3458
4.91919	50	0	39.3345	35.586	37.0495	32.9656	39.3368
5.15152	50	0	39.3292	35.7177	37.1255	33.0895	39.332
5.38384	50	0	39.2946	35.8546	37.2764	33.2156	39.2989
5.61616	50	0	39.2475	35.9629	37.3621	33.3403	39.2533
5.84848	50	0	39.1939	36.0973	37.5273	33.4519	39.2035
6.08081	50	0	39.067	36.2318	37.6127	33.5907	39.0826
6.31313	50	0	38.8372	36.3046	37.7582	33.7047	38.8732
6.54545	50	0	38.5396	36.4575	37.8576	33.8212	38.6246
6.77778	50	0	38.1399	36.5201	38.0004	33.9333	38.3828
7.0101	50	0	37.5246	36.672	38.1062	34.0521	38.2198
7.24242	50	0	36.3766	36.7952	38.2518	34.1638	38.2723
7.47475	50	0	34.2095	36.917	38.3058	34.279	38.3232
7.70707	50	0	30.2905	37.0116	38.4683	34.3884	38.4832
7.93939	50	0	23.3803	37.1357	38.5785	34.5033	38.5939
8.17172	50	0	11.3631	37.1989	38.7376	34.6031	38.7501
8.40404	50	0	-9.37358	37.3082	38.7986	34.7152	38.8125
8.63636	50	0	-44.9976	37.3871	38.9235	34.8274	38.936
8.86869	50	0	-106.039	37.5268	39.0593	34.922	39.0718
9.10101	50	0	-210.478	37.5885	39.1549	35.0339	39.1666
9.33333	50	0	0	37.6466	39.2984	35.1341	39.308
9.56566	50	0	0	37.709	39.3524	35.2178	39.3622
9.79798	50	0	0	37.7893	39.497	35.3194	39.5054
10.0303	50	0	0	37.7261	39.6113	35.4181	39.6169
10.2626	50	0	0	37.8645	39.7648	35.4971	39.7702
10.4949	50	0	0	37.7776	39.8107	35.5854	39.8147
10.7273	50	0	0	37.9195	39.9021	35.671	39.9066
10.9596	50	0	0	37.823	40.0425	35.7193	40.0451
11.1919	50	0	0	37.7999	40.0637	35.8226	40.0661
11.4242	50	0	0	37.5178	40.1473	35.8879	40.1484
11.6566	50	0	0	37.3737	40.2059	35.8986	40.2066
11.8889	50	0	0	37.7267	40.2868	35.9943	40.288
12.1212	50	0	0	36.8523	40.2324	35.9626	40.2326
12.3535	50	0	0	36.6602	40.2825	36.0467	40.2827
12.5859	50	0	0	36.951	40.1613	35.9876	40.1616
12.8182	50	0	0	37.032	40.2209	35.9934	40.2213
13.0505	50	0	0	35.711	40.0008	35.9687	40.0009
13.2828	50	0	0	35.8836	40.1329	35.8519	40.1329
13.5152	50	0	0	35.722	39.9139	35.789	39.914
13.7475	50	0	0	34.3993	38.9447	35.5885	38.9449
13.9798	50	0	0	34.4686	39.0159	35.3635	39.016
14.2121	50	0	0	34.1277	38.6773	35.1687	38.6775
14.4444	50	0	0	34.7155	39.1321	34.7929	39.1321
14.6768	50	0	0	32.1329	36.7602	33.9255	36.7609
14.9091	50	0	0	0	0	0	0
15.1414	50	0	0	0	0	0	0
15.3737	50	0	0	0	0	0	0
15.6061	50	0	0	0	0	0	0
15.8384	50	0	0	0	0	0	0
16.0707	50	0	0	0	0	0	0
16.303	50	0	0	0	0	0	0
16.5354	50	0	0	0	0	0	0
16.7677	50	0	0	0	0	0	0
17	50	0	0	0	0	0	0
-5.99506	51.7476	244.101	35.6329	0	0	0	35.6329
-5.76274	51.7476	244.101	35.7548	0	0	25.383	35.7548
-5.53041	51.7476	244.101	35.8693	0	0	25.9849	35.8693
-5.29809	51.7476	244.101	35.9823	0	0	26.4685	35.9823
