log(r)=19.99	t=7.6286	t=7.7786	t=7.9286	t=8.0786	t=8.2286	t=8.3786	t=8.5286	t=8.6786	t=8.8286	t=8.9786	t=9.1286	t=9.2786	t=9.4286	t=9.5786	t=9.7286	t=9.8786	t=10.0286	t=10.1786	t=10.3286	t=10.4786	t=10.6286	
11.94	0	0	0	0	0	0	0	0	0	0	-13.5386	-13.5385	-13.5384	-13.5384	-13.5384	-13.5384	-13.5384	-13.5384	-13.5384	-13.5384	-13.5384	
12.12	0	0	0	0	0	0	0	0	0	0	-14.1095	-14.1092	-14.1091	-14.1091	-14.109	-14.109	-14.109	-14.109	-14.109	-14.109	-14.109	
12.3	0	0	0	0	0	0	0	0	0	0	-14.6837	-14.6833	-14.6831	-14.6831	-14.6831	-14.6831	-14.6831	-14.6831	-14.6831	-14.6831	-14.6831	
12.48	0	0	0	0	0	0	0	0	0	0	-15.2704	-15.2697	-15.2694	-15.2693	-15.2693	-15.2693	-15.2693	-15.2693	-15.2693	-15.2693	-15.2693	
12.66	0	0	0	0	0	0	0	0	0	0	-15.8734	-15.8719	-15.8714	-15.8712	-15.8712	-15.8711	-15.8711	-15.8711	-15.8711	-15.8711	-15.8711	
12.84	0	0	0	0	0	0	0	0	0	0	-16.4853	-16.4828	-16.4819	-16.4816	-16.4815	-16.4814	-16.4814	-16.4814	-16.4814	-16.4814	-16.4814	
13.02	0	0	0	0	0	0	0	0	0	0	-17.1207	-17.1158	-17.1141	-17.1135	-17.1133	-17.1132	-17.1132	-17.1132	-17.1132	-17.1132	-17.1132	
13.2	0	0	0	0	0	0	0	0	0	0	-17.7812	-17.7712	-17.7678	-17.7667	-17.7663	-17.7661	-17.7661	-17.7661	-17.7661	-17.7661	-17.7661	
13.38	0	0	0	0	0	0	0	0	0	0	-18.4698	-18.4484	-18.4413	-18.4389	-18.4381	-18.4378	-18.4377	-18.4376	-18.4376	-18.4376	-18.4376	
13.56	0	0	0	0	0	0	0	0	0	0	-19.1754	-19.1279	-19.1127	-19.1076	-19.1059	-19.1053	-19.1051	-19.1051	-19.105	-19.105	-19.105	
13.74	0	0	0	0	0	0	0	0	0	0	-19.839	-19.748	-19.7208	-19.7118	-19.7088	-19.7077	-19.7074	-19.7073	-19.7072	-19.7072	-19.7072	
13.92	0	0	0	0	0	0	0	0	0	0	-20.3664	-20.2383	-20.2018	-20.19	-20.186	-20.1846	-20.1842	-20.184	-20.184	-20.184	-20.1839	
14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
