Log(E/eV)	Synchr	pg	IC	IC-cmb	pp	Acc	Ad
15.5455	-21.5144	-18.8538	-21.7914	-23.3319	-19.8337	-11.2945	-11.2627
15.6364	-21.4235	-18.7559	-21.7056	-23.2447	-19.8256	-11.3854	-11.2627
15.7273	-21.3326	-18.6647	-21.62	-23.1575	-19.8174	-11.4763	-11.2627
15.8182	-21.2417	-18.5983	-21.5347	-23.0703	-19.8093	-11.5672	-11.2627
15.9091	-21.1508	-18.5354	-21.4499	-22.983	-19.8011	-11.6581	-11.2627
16	-21.0599	-18.4813	-21.3656	-22.8958	-19.793	-11.749	-11.2627
16.0909	-20.969	-18.4372	-21.282	-22.8085	-19.7849	-11.8399	-11.2627
16.1818	-20.8781	-18.4032	-21.1992	-22.7212	-19.7769	-11.9308	-11.2627
16.2727	-20.7872	-18.3751	-21.1174	-22.6339	-19.7688	-12.0217	-11.2627
16.3636	-20.6963	-18.355	-21.0367	-22.5465	-19.7608	-12.1127	-11.2627
16.4545	-20.6054	-18.3411	-20.9573	-22.4592	-19.7528	-12.2036	-11.2627
16.5455	-20.5144	-18.3331	-20.8797	-22.3718	-19.7449	-12.2945	-11.2627
16.6364	-20.4235	-18.331	-20.804	-22.2845	-19.7369	-12.3854	-11.2627
16.7273	-20.3326	-18.333	-20.7305	-22.1971	-19.729	-12.4763	-11.2627
16.8182	-20.2417	-18.3325	-20.6598	-22.1097	-19.7212	-12.5672	-11.2627
16.9091	-20.1508	-18.298	-20.592	-22.0223	-19.7133	-12.6581	-11.2627
17	-20.0599	-18.1599	-20.5277	-21.9348	-19.7055	-12.749	-11.2627
17.0909	-19.969	-17.8985	-20.4672	-21.8474	-19.6977	-12.8399	-11.2627
17.1818	-19.8781	-17.5952	-20.4111	-21.76	-19.69	-12.9308	-11.2627
17.2727	-19.7872	-17.3185	-20.3596	-21.6725	-19.6823	-13.0217	-11.2627
17.3636	-19.6963	-17.0887	-20.3131	-21.5851	-19.6746	-13.1127	-11.2627
17.4545	-19.6054	-16.9049	-20.272	-21.4976	-19.667	-13.2036	-11.2627
17.5455	-19.5144	-16.7602	-20.2366	-21.4101	-19.6594	-13.2945	-11.2627
17.6364	-19.4235	-16.6472	-20.2071	-21.3227	-19.6518	-13.3854	-11.2627
17.7273	-19.3326	-16.5597	-20.1836	-21.2352	-19.6443	-13.4763	-11.2627
17.8182	-19.2417	-16.492	-20.1664	-21.1477	-19.6368	-13.5672	-11.2627
17.9091	-19.1508	-16.4401	-20.1554	-21.0603	-19.6293	-13.6581	-11.2627
18	-19.0599	-16.4008	-20.1506	-20.9729	-19.6219	-13.749	-11.2627
