log(E/eV)	Synchr	pg	IC
-5.5799	27.9413	0	0	0
-5.34757	27.4917	0	0	0
-5.11525	26.8725	0	0	0
-4.88293	26.2162	0	0	0
-4.6506	25.4582	0	0	0
-4.41828	24.325	0	0	0
-4.18596	22.7646	0	0	0
-3.95363	21.0451	0	0	0
-3.72131	19.1302	0	0	0
-3.48899	17.0102	0	0	0
-3.25666	14.802	0	0	0
-3.02434	11.2215	0	0	0
-2.79202	7.64601	0	0	0
-2.55969	2.3599	0	0	0
-2.32737	-4.25813	0	0	0
-2.09505	-11.759	0	0	0
-1.86272	-21.5303	0	17.9355	0
-1.6304	-28.9562	0	18.8669	0
-1.39808	-37.5511	0	19.6404	0
-1.16575	-52.4443	0	20.36	0
-0.933431	-70.5411	0	21.0505	0
-0.701107	-91.4431	0	21.7209	0
-0.468784	-121.041	0	22.3679	0
-0.236461	-150.326	0	22.9797	0
-0.0041377	-195.906	0	23.5363	0
0.228186	-226.554	0	24.0138	0
0.460509	-259.987	0	24.4075	-210.128
0.692832	-317.29	0	24.7469	-110.437
0.925155	0	0	25.0538	-70.024
1.15748	0	0	25.3347	-34.6971
1.3898	0	0	25.5904	-15.9889
1.62212	0	0	25.8182	-6.83191
1.85445	0	0	26.0219	0.118844
2.08677	0	0	26.2229	4.28088
2.31909	0	0	26.3959	7.41102
2.55142	0	0	26.5577	9.63201
2.78374	0	0	26.7146	11.408
3.01606	0	0	26.8529	12.8484
3.24839	0	0	27.0025	14.1068
3.48071	0	0	27.1332	15.2347
3.71303	0	0	27.2576	16.292
3.94536	0	0	27.3885	17.2878
4.17768	0	0	27.5222	18.2654
4.41	0	0	27.6285	19.2137
4.64233	0	0	27.7678	20.1539
4.87465	0	0	27.8612	21.083
5.10697	0	0	28.0008	22.0039
5.3393	0	0	28.0832	22.9208
5.57162	0	0	28.2286	23.8259
5.80394	0	0	28.3042	24.7193
6.03627	0	0	28.4646	25.5909
6.26859	0	0	28.5332	26.4269
6.50091	0	0	28.6711	27.2119
6.73324	0	0	28.7539	27.9177
6.96556	0	0	28.8356	28.5241
7.19788	0	0	28.924	29.035
7.43021	0	0	28.9469	29.5042
7.66253	0	0	29.0448	29.9423
7.89485	0	0	29.0985	30.4239
8.12718	0	0	29.1399	30.899
8.3595	0	0	29.1091	31.3636
8.59182	0	0	29.0872	31.822
8.82415	0	0	29.0328	32.2764
9.05647	0	0	28.9043	32.7433
9.28879	0	0	28.705	33.2225
9.52111	0	0	28.5843	33.6501
9.75344	0	0	28.2084	33.9905
9.98576	0	0	27.9554	34.2305
10.2181	0	0	27.4088	34.3883
10.4504	0	0	26.6614	34.4863
10.6827	0	0	26.2948	34.551
10.9151	0	0	24.8221	34.5902
11.1474	0	0	24.3021	34.6147
11.3797	0	0	22.0777	34.6309
11.612	0	0	20.5998	34.6395
11.8443	0	0	18.5883	34.6396
12.0767	0	0	14.94	34.6348
12.309	0	0	14.2273	34.6106
12.5413	0	0	8.45772	34.579
12.7736	0	0	6.06826	34.501
13.006	0	0	-2.32653	34.3997
13.2383	0	0	-15.3035	34.2055
13.4706	0	0	-17.7788	33.9171
13.7029	0	0	-29.4682	33.4259
13.9353	0	0	-31.4558	32.6845
14.1676	0	0	-53.4327	31.4136
14.3999	0	0	-83.3004	29.5402
14.6322	0	-230.281	-88.9308	26.2407
14.8645	0	-189.565	-134.24	21.5307
15.0969	0	-240.989	-165.953	12.2741
15.3292	0	0	-208.252	-5.80538
15.5615	0	0	-258.835	-27.2324
15.7938	0	0	0	-79.605
16.0262	0	0	0	-139.51
16.2585	0	0	0	0
16.4908	0	0	0	0
16.7231	0	0	0	0
16.9555	0	0	0	0
17.1878	0	0	0	0
17.4201	0	0	0	0
