log(z/pc)	t=6.65509	t=6.67373	t=6.69237	t=6.71101	t=6.72964	t=6.74828	t=6.76692	t=6.78555	t=6.80419	t=6.82283	t=6.84147	t=6.8601	t=6.87874	t=6.89738	t=6.91602	t=6.93465	t=6.95329	t=6.97193	t=6.99057	t=7.0092	t=7.02784	t=7.04648	t=7.06512	t=7.08375	t=7.10239	t=7.12103	t=7.13966	t=7.1583	t=7.17694	t=7.19558	t=7.21421	t=7.23285	t=7.25149	t=7.27013	t=7.28876	t=7.3074	t=7.32604	t=7.34468	t=7.36331	t=7.38195	t=7.40059	t=7.41922	t=7.43786	t=7.4565	t=7.47514	t=7.49377	t=7.51241	t=7.53105	t=7.54969	t=7.56832	t=7.58696	t=7.6056	t=7.62424	t=7.64287	t=7.66151	t=7.68015	t=7.69879	t=7.71742	t=7.73606	t=7.7547	t=7.77333	t=7.79197	t=7.81061	t=7.82925	t=7.84788	t=7.86652	t=7.88516	t=7.9038	t=7.92243	t=7.94107	t=7.95971	t=7.97835	t=7.99698	t=8.01562	t=8.03426	t=8.05289	t=8.07153	t=8.09017	t=8.10881	t=8.12744	t=8.14608	t=8.16472	t=8.18336	t=8.20199	t=8.22063	t=8.23927	t=8.25791	t=8.27654	t=8.29518	t=8.31382	t=8.33246	t=8.35109	t=8.36973	t=8.38837	t=8.407	t=8.42564	t=8.44428	t=8.46292	t=8.48155	t=8.50019	
21.05	44.9029	45.1464	45.218	45.238	45.2431	45.2443	45.2446	45.2447	45.2448	45.2448	45.2448	45.2449	45.2449	45.2449	45.245	45.245	45.2451	45.2452	45.2452	45.2453	45.2454	45.2455	45.2456	45.2457	45.2459	45.246	45.2462	45.2464	45.2466	45.2468	45.247	45.2472	45.2476	45.2479	45.2482	45.2486	45.249	45.2494	45.2499	45.2504	45.251	45.2517	45.2525	45.2533	45.2542	45.2551	45.2562	45.2573	45.2586	45.26	45.2614	45.263	45.2648	45.2668	45.2689	45.2712	45.2737	45.2765	45.2794	45.2825	45.2859	45.2896	45.2936	45.2979	45.3023	45.3072	45.3125	45.318	45.324	45.3302	45.3368	45.3437	45.3511	45.3589	45.3671	45.3758	45.385	45.3948	45.4048	45.4152	45.4262	45.4377	45.4496	45.4617	45.4739	45.4866	45.4997	45.5131	45.5267	45.5404	45.554	45.5675	45.5812	45.5946	45.6079	45.6207	45.633	45.6449	45.656	45.6663	
21.973	44.8843	45.1374	45.2139	45.2359	45.2416	45.243	45.2433	45.2434	45.2435	45.2435	45.2436	45.2436	45.2436	45.2437	45.2437	45.2438	45.2438	45.2439	45.244	45.2441	45.2442	45.2442	45.2443	45.2444	45.2446	45.2447	45.2449	45.2451	45.2453	45.2455	45.2457	45.246	45.2463	45.2466	45.2469	45.2473	45.2477	45.2481	45.2486	45.2491	45.2497	45.2504	45.2512	45.252	45.2529	45.2539	45.2549	45.2561	45.2573	45.2587	45.2601	45.2617	45.2635	45.2655	45.2676	45.2699	45.2724	45.2752	45.2781	45.2812	45.2846	45.2883	45.2923	45.2965	45.301	45.3059	45.3111	45.3166	45.3226	45.3289	45.3354	45.3423	45.3497	45.3574	45.3657	45.3744	45.3835	45.3933	45.4033	45.4137	45.4247	45.4361	45.448	45.4601	45.4723	45.4849	45.498	45.5114	45.5249	45.5386	45.5522	45.5657	45.5793	45.5928	45.606	45.6187	45.6311	45.6429	45.654	45.6643	
22.9365	44.8656	45.1281	45.2096	45.2337	45.2401	45.2417	45.2421	45.2422	45.2422	45.2423	45.2423	45.2423	45.2424	45.2424	45.2424	45.2425	45.2426	45.2426	45.2427	45.2428	45.2429	45.243	45.2431	45.2432	45.2433	45.2435	45.2436	45.2438	45.244	45.2442	45.2444	45.2447	45.245	45.2453	45.2457	45.246	45.2464	45.2469	45.2473	45.2478	45.2484	45.2491	45.2499	45.2507	45.2516	45.2526	45.2536	45.2548	45.256	45.2574	45.2588	45.2604	45.2622	45.2642	45.2663	45.2686	45.2711	45.2739	45.2768	45.2799	45.2833	45.2869	45.291	45.2952	45.2996	45.3045	45.3097	45.3153	45.3212	45.3275	45.3341	45.3409	45.3483	45.356	45.3642	45.3729	45.382	45.3918	45.4018	45.4122	45.4232	45.4346	45.4464	45.4585	45.4707	45.4833	45.4964	45.5097	45.5232	45.5369	45.5504	45.5639	45.5775	45.5909	45.6042	45.6169	45.6292	45.6409	45.652	45.6623	
23.9422	44.847	45.1187	45.2051	45.2314	45.2385	45.2403	45.2408	45.2409	45.2409	45.241	45.241	45.2411	45.2411	45.2411	45.2412	45.2412	45.2413	45.2414	45.2414	45.2415	45.2416	45.2417	45.2418	45.2419	45.242	45.2422	45.2424	45.2426	45.2427	45.2429	45.2432	45.2434	45.2437	45.2441	45.2444	45.2448	45.2451	45.2456	45.2461	45.2466	45.2472	45.2479	45.2486	45.2494	45.2503	45.2513	45.2523	45.2535	45.2547	45.2561	45.2575	45.2591	45.2609	45.2629	45.265	45.2673	45.2698	45.2726	45.2755	45.2786	45.2819	45.2856	45.2896	45.2939	45.2983	45.3032	45.3084	45.3139	45.3198	45.3261	45.3327	45.3395	45.3469	45.3546	45.3628	45.3715	45.3806	45.3903	45.4003	45.4107	45.4216	45.433	45.4448	45.4569	45.4691	45.4816	45.4947	45.508	45.5215	45.5352	45.5487	45.5622	45.5757	45.5891	45.6023	45.615	45.6273	45.639	45.6501	45.6604	
24.992	44.8284	45.1091	45.2005	45.229	45.237	45.239	45.2395	45.2396	45.2397	45.2397	45.2398	45.2398	45.2398	45.2399	45.2399	45.24	45.24	45.2401	45.2402	45.2402	45.2403	45.2404	45.2405	45.2406	45.2408	45.2409	45.2411	45.2413	45.2415	45.2417	45.2419	45.2422	45.2425	45.2428	45.2431	45.2435	45.2439	45.2443	45.2448	45.2453	45.2459	45.2466	45.2473	45.2481	45.2491	45.25	45.251	45.2522	45.2534	45.2548	45.2562	45.2578	45.2596	45.2616	45.2637	45.266	45.2685	45.2713	45.2741	45.2773	45.2806	45.2843	45.2883	45.2925	45.2969	45.3018	45.307	45.3125	45.3185	45.3247	45.3313	45.3381	45.3455	45.3532	45.3614	45.37	45.3791	45.3888	45.3989	45.4092	45.4201	45.4315	45.4433	45.4553	45.4675	45.48	45.4931	45.5063	45.5198	45.5335	45.547	45.5604	45.574	45.5873	45.6005	45.6132	45.6255	45.6372	45.6482	45.6585	
26.0879	44.8097	45.0993	45.1957	45.2265	45.2353	45.2376	45.2382	45.2383	45.2384	45.2384	45.2385	45.2385	45.2385	45.2386	45.2386	45.2387	45.2387	45.2388	45.2389	45.239	45.2391	45.2392	45.2393	45.2394	45.2395	45.2396	45.2398	45.24	45.2402	45.2404	45.2406	45.2409	45.2412	45.2415	45.2418	45.2422	45.2426	45.243	45.2435	45.244	45.2446	45.2453	45.246	45.2469	45.2478	45.2487	45.2497	45.2509	45.2522	45.2535	45.2549	45.2565	45.2583	45.2603	45.2624	45.2647	45.2672	45.2699	45.2728	45.2759	45.2793	45.283	45.287	45.2912	45.2956	45.3005	45.3057	45.3112	45.3171	45.3233	45.3299	45.3367	45.3441	45.3518	45.3599	45.3686	45.3777	45.3874	45.3974	45.4077	45.4186	45.4299	45.4417	45.4538	45.4659	45.4784	45.4914	45.5047	45.5182	45.5318	45.5453	45.5587	45.5722	45.5856	45.5987	45.6114	45.6237	45.6354	45.6464	45.6566	
27.2318	44.7911	45.0893	45.1908	45.2239	45.2337	45.2363	45.2369	45.2371	45.2371	45.2372	45.2372	45.2372	45.2373	45.2373	45.2374	45.2374	45.2375	45.2375	45.2376	45.2377	45.2378	45.2379	45.238	45.2381	45.2382	45.2384	45.2385	45.2387	45.2389	45.2391	45.2393	45.2396	45.2399	45.2402	45.2406	45.2409	45.2413	45.2418	45.2422	45.2427	45.2433	45.244	45.2448	45.2456	45.2465	45.2474	45.2485	45.2496	45.2509	45.2522	45.2537	45.2552	45.257	45.259	45.2611	45.2633	45.2659	45.2686	45.2715	45.2746	45.278	45.2816	45.2856	45.2899	45.2943	45.2991	45.3043	45.3098	45.3157	45.322	45.3285	45.3354	45.3427	45.3503	45.3585	45.3672	45.3762	45.3859	45.3959	45.4062	45.4171	45.4284	45.4402	45.4522	45.4643	45.4768	45.4898	45.503	45.5165	45.5301	45.5436	45.557	45.5705	45.5838	45.597	45.6096	45.6219	45.6336	45.6446	45.6548	
28.4259	44.7725	45.0791	45.1857	45.2213	45.232	45.2349	45.2356	45.2358	45.2359	45.2359	45.2359	45.236	45.236	45.236	45.2361	45.2361	45.2362	45.2363	45.2363	45.2364	45.2365	45.2366	45.2367	45.2368	45.237	45.2371	45.2373	45.2375	45.2377	45.2379	45.2381	45.2383	45.2386	45.239	45.2393	45.2397	45.24	45.2405	45.241	45.2415	45.2421	45.2427	45.2435	45.2443	45.2452	45.2462	45.2472	45.2483	45.2496	45.2509	45.2524	45.2539	45.2557	45.2577	45.2598	45.262	45.2646	45.2673	45.2702	45.2733	45.2766	45.2803	45.2843	45.2885	45.2929	45.2978	45.3029	45.3085	45.3144	45.3206	45.3271	45.334	45.3413	45.3489	45.3571	45.3657	45.3748	45.3844	45.3944	45.4047	45.4156	45.4269	45.4386	45.4507	45.4628	45.4753	45.4882	45.5014	45.5149	45.5284	45.5419	45.5553	45.5688	45.5821	45.5952	45.6079	45.6202	45.6318	45.6429	45.6531	
29.6723	44.7538	45.0688	45.1804	45.2185	45.2302	45.2335	45.2343	45.2345	45.2346	45.2346	45.2347	45.2347	45.2347	45.2348	45.2348	45.2349	45.2349	45.235	45.2351	45.2352	45.2353	45.2353	45.2354	45.2356	45.2357	45.2358	45.236	45.2362	45.2364	45.2366	45.2368	45.2371	45.2374	45.2377	45.238	45.2384	45.2388	45.2392	45.2397	45.2402	45.2408	45.2415	45.2422	45.243	45.2439	45.2449	45.2459	45.247	45.2483	45.2496	45.2511	45.2526	45.2544	45.2564	45.2585	45.2607	45.2632	45.266	45.2689	45.272	45.2753	45.279	45.283	45.2872	45.2916	45.2964	45.3016	45.3071	45.313	45.3192	45.3258	45.3326	45.3399	45.3475	45.3557	45.3643	45.3733	45.383	45.3929	45.4033	45.4141	45.4254	45.4371	45.4491	45.4612	45.4737	45.4866	45.4998	45.5132	45.5268	45.5403	45.5537	45.5671	45.5804	45.5935	45.6062	45.6184	45.6301	45.6411	45.6513	
30.9734	44.7352	45.0583	45.175	45.2157	45.2284	45.232	45.233	45.2332	45.2333	45.2334	45.2334	45.2334	45.2335	45.2335	45.2336	45.2336	45.2337	45.2337	45.2338	45.2339	45.234	45.2341	45.2342	45.2343	45.2344	45.2346	45.2347	45.2349	45.2351	45.2353	45.2355	45.2358	45.2361	45.2364	45.2368	45.2371	45.2375	45.2379	45.2384	45.2389	45.2395	45.2402	45.2409	45.2417	45.2426	45.2436	45.2446	45.2458	45.247	45.2484	45.2498	45.2513	45.2531	45.2551	45.2572	45.2594	45.2619	45.2647	45.2676	45.2707	45.274	45.2777	45.2816	45.2858	45.2903	45.2951	45.3002	45.3057	45.3116	45.3178	45.3244	45.3312	45.3385	45.3461	45.3543	45.3629	45.3719	45.3815	45.3915	45.4018	45.4126	45.4239	45.4356	45.4476	45.4597	45.4721	45.4851	45.4982	45.5116	45.5252	45.5386	45.552	45.5654	45.5787	45.5918	45.6045	45.6167	45.6284	45.6394	45.6496	
