z [pc] 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
10	0	0	8.94454e+17	0.1	0.009999	2.09457e+41
10.3339	1.0926	0.285705	1.22089e+18	0.149	0.0207792	3.21598e+42
10.679	2.22168	0.363847	1.43196e+18	0.184	0.0296537	4.97552e+42
11.0356	3.38846	0.446276	1.63388e+18	0.204	0.034113	6.34859e+42
11.404	4.59421	0.50345	1.81158e+18	0.223	0.0381432	7.47349e+42
11.7848	5.84021	0.5607	1.98683e+18	0.238	0.0406547	8.48163e+42
12.1783	7.12782	0.605329	2.14863e+18	0.253	0.0429815	9.29573e+42
12.585	8.45843	0.645499	2.30472e+18	0.267	0.0447821	9.97301e+42
13.0052	9.83346	0.688275	2.46346e+18	0.279	0.045744	1.0597e+43
13.4395	11.2544	0.720787	2.61023e+18	0.292	0.0468632	1.10268e+43
13.8882	12.7228	0.758568	2.76368e+18	0.303	0.0471971	1.14509e+43
14.352	14.2402	0.78801	2.90692e+18	0.315	0.0476981	1.1701e+43
14.8312	15.8083	0.819365	3.05314e+18	0.326	0.0477694	1.19158e+43
15.3264	17.4288	0.853107	3.20359e+18	0.336	0.0474488	1.21111e+43
15.8382	19.1033	0.880071	3.34522e+18	0.347	0.0473048	1.21576e+43
16.3671	20.8338	0.910139	3.49235e+18	0.357	0.046804	1.22041e+43
16.9136	22.6221	0.938811	3.63848e+18	0.367	0.0462286	1.2188e+43
17.4783	24.4701	0.96632	3.7839e+18	0.377	0.0455848	1.21162e+43
18.0619	26.3797	0.992868	3.92891e+18	0.387	0.0448787	1.19954e+43
18.6651	28.3532	1.01863	4.07376e+18	0.397	0.0441162	1.18317e+43
19.2883	30.3925	1.04841	4.22689e+18	0.406	0.0431023	1.17015e+43
19.9324	32.5	1.07302	4.37231e+18	0.416	0.0422537	1.14677e+43
20.5979	34.6778	1.09725	4.51824e+18	0.426	0.0413646	1.12068e+43
21.2857	36.9283	1.12578	4.67358e+18	0.435	0.0402686	1.09905e+43
21.9965	39.254	1.14953	4.82131e+18	0.445	0.0393225	1.06869e+43
22.7309	41.6573	1.17772	4.97912e+18	0.454	0.0381965	1.04325e+43
23.4899	44.1409	1.20585	5.13851e+18	0.463	0.0370653	1.01634e+43
24.2743	46.7074	1.22949	5.29034e+18	0.473	0.0360684	9.82086e+42
25.0848	49.3596	1.25773	5.45321e+18	0.482	0.034928	9.53175e+42
25.9225	52.1004	1.2861	5.61814e+18	0.491	0.0337914	9.23546e+42
26.788	54.9327	1.31022	5.77552e+18	0.501	0.0327742	8.87774e+42
27.6825	57.8595	1.33906	5.94486e+18	0.51	0.0316452	8.57465e+42
28.6069	60.8841	1.36819	6.11671e+18	0.519	0.0305269	8.2699e+42
29.5621	64.0097	1.39327	6.28101e+18	0.529	0.0295139	7.914e+42
30.5492	67.2396	1.42754	6.46852e+18	0.537	0.0283299	7.66099e+42
31.5693	70.5774	1.44911	6.62778e+18	0.548	0.0274149	7.26443e+42
32.6234	74.0267	1.48426	6.82145e+18	0.556	0.0262705	7.01476e+42
33.7127	77.5911	1.51123	6.99708e+18	0.566	0.025294	6.67789e+42
34.8384	81.2746	1.5431	7.18674e+18	0.575	0.024263	6.39133e+42
36.0017	85.081	1.57127	7.36883e+18	0.585	0.0233114	6.06963e+42
37.2038	89.0145	1.60437	7.56553e+18	0.594	0.0223181	5.79583e+42
38.4461	93.0794	1.63387	7.75468e+18	0.604	0.0213965	5.49115e+42
39.7299	97.2801	1.66836	7.95901e+18	0.613	0.0204445	5.23176e+42
41.0565	101.621	1.69934	8.15579e+18	0.623	0.019557	4.94526e+42
42.4274	106.107	1.73535	8.36836e+18	0.632	0.0186491	4.70129e+42
43.8441	110.742	1.76794	8.57338e+18	0.642	0.0177987	4.43354e+42
45.3081	115.533	1.80561	8.79479e+18	0.651	0.0169368	4.20553e+42
46.821	120.483	1.83995	9.00866e+18	0.661	0.0161259	3.95668e+42
48.3844	125.599	1.87943	9.23956e+18	0.67	0.0153111	3.74476e+42
50	130.885	1.91566	9.46292e+18	0.68	0.0145413	3.51461e+42
Lnt total	4.17242e+44
