z [pc] 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
10	0	0	4.15169e+17	0.1	0.009999	4.51262e+41
10.3339	1.0926	0.161656	6.67183e+17	0.193	0.0348323	1.1814e+43
10.679	2.22168	0.174684	7.9122e+17	0.263	0.0603629	1.63512e+43
11.0356	3.38846	0.212753	9.265e+17	0.295	0.0709176	2.05473e+43
11.404	4.59421	0.236742	1.04061e+18	0.327	0.08128	2.33799e+43
11.7848	5.84021	0.260555	1.15167e+18	0.353	0.0883296	2.57725e+43
12.1783	7.12782	0.280108	1.2546e+18	0.378	0.0943733	2.73837e+43
12.585	8.45843	0.30112	1.35888e+18	0.399	0.0979695	2.88367e+43
13.0052	9.83346	0.317779	1.45496e+18	0.421	0.1015	2.94913e+43
13.4395	11.2544	0.336221	1.55382e+18	0.44	0.103169	3.01053e+43
13.8882	12.7228	0.352867	1.6491e+18	0.459	0.104379	3.02618e+43
14.352	14.2402	0.369432	1.74415e+18	0.477	0.104744	3.0204e+43
14.8312	15.8083	0.384861	1.83685e+18	0.495	0.104705	2.98135e+43
15.3264	17.4288	0.402027	1.9335e+18	0.511	0.103583	2.95012e+43
15.8382	19.1033	0.417126	2.0258e+18	0.528	0.102499	2.87717e+43
16.3671	20.8338	0.432952	2.12004e+18	0.544	0.100798	2.80216e+43
16.9136	22.6221	0.448306	2.21349e+18	0.56	0.0988431	2.71066e+43
17.4783	24.4701	0.464596	2.30964e+18	0.575	0.0963965	2.62261e+43
18.0619	26.3797	0.479307	2.4022e+18	0.591	0.094003	2.50689e+43
18.6651	28.3532	0.496403	2.50143e+18	0.605	0.0909878	2.4149e+43
19.2883	30.3925	0.512068	2.59738e+18	0.62	0.0880554	2.2998e+43
19.9324	32.5	0.528943	2.69717e+18	0.634	0.084826	2.19468e+43
20.5979	34.6778	0.54451	2.7938e+18	0.649	0.0816632	2.07098e+43
21.2857	36.9283	0.561383	2.89469e+18	0.663	0.0782719	1.95928e+43
21.9965	39.254	0.578326	2.99634e+18	0.677	0.0748278	1.84598e+43
22.7309	41.6573	0.596651	3.10276e+18	0.69	0.071257	1.74477e+43
23.4899	44.1409	0.613849	3.20636e+18	0.704	0.0677583	1.63081e+43
24.2743	46.7074	0.632503	3.3151e+18	0.717	0.0641879	1.52958e+43
25.0848	49.3596	0.651373	3.42519e+18	0.73	0.0606382	1.42915e+43
25.9225	52.1004	0.669218	3.53255e+18	0.744	0.0571349	1.31967e+43
26.788	54.9327	0.68989	3.64984e+18	0.756	0.0536291	1.23298e+43
27.6825	57.8595	0.709595	3.76459e+18	0.769	0.0501823	1.13815e+43
28.6069	60.8841	0.73092	3.88553e+18	0.781	0.0468042	1.05496e+43
29.5621	64.0097	0.751328	4.00395e+18	0.794	0.0434675	9.65215e+42
30.5492	67.2396	0.773415	4.12891e+18	0.806	0.0402326	8.86693e+42
31.5693	70.5774	0.797223	4.26078e+18	0.817	0.0371351	8.18295e+42
32.6234	74.0267	0.820189	4.39033e+18	0.829	0.0340752	7.44403e+42
33.7127	77.5911	0.843632	4.52229e+18	0.841	0.0311	6.73249e+42
34.8384	81.2746	0.868894	4.66172e+18	0.852	0.0282932	6.11438e+42
36.0017	85.081	0.894699	4.80394e+18	0.863	0.0255886	5.51799e+42
37.2038	89.0145	0.922412	4.95425e+18	0.873	0.0230798	5.0028e+42
38.4461	93.0794	0.949391	5.10247e+18	0.884	0.0205832	4.44847e+42
39.7299	97.2801	0.979721	5.26463e+18	0.893	0.0183933	4.02337e+42
41.0565	101.621	1.00937	5.42493e+18	0.903	0.0162105	3.56009e+42
42.4274	106.107	1.04112	5.59445e+18	0.912	0.0142407	3.16295e+42
43.8441	110.742	1.07363	5.7679e+18	0.921	0.0123768	2.77915e+42
45.3081	115.533	1.10693	5.94541e+18	0.93	0.0106151	2.40895e+42
46.821	120.483	1.1425	6.13318e+18	0.938	0.0090655	2.09427e+42
48.3844	125.599	1.18046	6.33181e+18	0.945	0.00772488	1.82975e+42
50	130.885	1.21787	6.52908e+18	0.953	0.00636315	1.53331e+42
Lnt total	7.91119e+44
