log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	10	0	35.9221	0	0	0
-5.76768	10	0	36.046	0	0	24.4588
-5.53535	10	0	36.161	0	0	25.0681
-5.30303	10	0	36.2838	0	0	25.5614
-5.07071	10	0	36.4105	0	0	26.0093
-4.83838	10	0	36.5248	0	0	26.4295
-4.60606	10	0	36.6378	0	0	26.827
-4.37374	10	0	36.7606	0	0	27.1796
-4.14141	10	0	36.8765	0	0	27.5073
-3.90909	10	0	36.9847	0	0	27.817
-3.67677	10	0	37.1037	0	21.5494	28.1185
-3.44444	10	0	37.2275	0	22.7935	28.3556
-3.21212	10	0	37.3413	0	23.6982	28.5997
-2.9798	10	0	37.4569	0	24.5075	28.8361
-2.74747	10	0	37.5808	0	25.2682	29.0442
-2.51515	10	0	37.6953	0	25.9982	29.2462
-2.28283	10	0	37.803	0	26.7056	29.4377
-2.05051	10	0	37.9218	0	27.3926	29.6386
-1.81818	10	0	38.0423	0	28.0566	29.8041
-1.58586	10	0	38.1527	20.069	28.6893	29.9738
-1.35354	10	0	38.2684	23.0022	29.2749	30.1472
-1.12121	10	0	38.3934	23.8922	29.7936	30.3016
-0.888889	10	0	38.5082	24.665	30.2394	30.4579
-0.656566	10	0	38.6174	25.3937	30.6369	30.6221
-0.424242	10	0	38.7371	26.1	31.0098	30.7826
-0.191919	10	0	38.8543	26.7916	31.3581	30.9296
0.040404	10	0	38.9609	27.47	31.6761	31.0777
0.272727	10	0	39.0745	28.1325	31.968	31.2318
0.505051	10	0	39.1969	28.7715	32.2354	31.3668
0.737374	10	0	39.3091	29.3725	32.4842	31.5246
0.969697	10	0	39.4175	29.9153	32.6957	31.6572
1.20202	10	0	39.5335	30.3853	32.8867	31.8033
1.43434	10	0	39.6402	30.796	33.0704	31.9391
1.66667	10	0	39.7311	31.1765	33.2593	32.0778
1.89899	10	0	39.8246	31.5334	33.4111	32.2239
2.13131	10	0	39.918	31.8635	33.5419	32.3565
2.36364	10	0	39.9898	32.1629	33.7109	32.4908
2.59596	10	0	40.0511	32.4376	33.8544	32.6298
2.82828	10	0	40.1213	32.6924	33.9678	32.7662
3.06061	10	0	40.1754	32.9262	34.0927	32.8985
3.29293	10	0	40.2009	33.1201	34.2339	33.0285
3.52525	10	0	40.228	33.3039	34.3337	33.1673
3.75758	10	0	40.2607	33.4954	34.4647	33.2727
3.9899	10	0	40.2639	33.6535	34.6142	33.4212
4.22222	10	0	40.2509	33.7982	34.6988	33.5545
4.45455	10	0	40.2625	33.9463	34.8294	33.6814
4.68687	10	0	40.2705	34.1032	34.9739	33.809
4.91919	10	0	40.2525	34.2181	35.0753	33.946
5.15152	10	0	40.2415	34.3501	35.2126	34.0674
5.38384	10	0	40.2399	34.4936	35.274	34.1931
