Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc	Ad
12.2626	10	0	-8.18984	-12.5087	-9.60135	-7.47692	-3.23574	-9.18923
12.3636	10	0	-8.08883	-12.6029	-9.59557	-7.47692	-3.33675	-9.18923
12.4646	10	0	-7.98782	-12.6985	-9.59738	-7.47692	-3.43776	-9.18923
12.5657	10	0	-7.88681	-12.7954	-9.60666	-7.47692	-3.53877	-9.18923
12.6667	10	0	-7.7858	-12.8934	-9.62323	-7.47692	-3.63978	-9.18923
12.7677	10	0	-7.68479	-12.9923	-9.6469	-7.47692	-3.74079	-9.18923
12.8687	10	0	-7.58378	-13.0921	-9.67741	-7.47692	-3.8418	-9.18923
12.9697	10	0	-7.48277	-13.1927	-9.71445	-7.47692	-3.94281	-9.18923
13.0707	10	0	-7.38176	-13.2938	-9.75773	-7.47692	-4.04382	-9.18923
13.1717	10	0	-7.28075	-13.3955	-9.80688	-7.47692	-4.14483	-9.18923
13.2727	10	0	-7.17974	-13.4976	-9.86154	-7.47692	-4.24584	-9.18923
13.3737	10	0	-7.07873	-13.6001	-9.92135	-7.47692	-4.34685	-9.18923
13.4747	10	0	-6.97772	-13.7029	-9.98593	-7.47692	-4.44786	-9.18923
13.5758	10	0	-6.87671	-13.806	-10.0549	-7.47692	-4.54887	-9.18923
13.6768	10	0	-6.7757	-13.9094	-10.1279	-7.47692	-4.64988	-9.18923
13.7778	10	0	-6.67469	-14.0129	-10.2045	-7.47692	-4.75089	-9.18923
13.8788	10	0	-6.57368	-14.1165	-10.2845	-7.47692	-4.8519	-9.18923
13.9798	10	0	-6.47267	-14.2203	-10.3675	-7.47692	-4.95291	-9.18923
14.0808	10	0	-6.37166	-14.3242	-10.4531	-7.47692	-5.05392	-9.18923
14.1818	10	0	-6.27065	-14.4281	-10.5411	-7.47692	-5.15493	-9.18923
14.2828	10	0	-6.16964	-14.5322	-10.6313	-7.47692	-5.25594	-9.18923
14.3838	10	0	-6.06863	-14.6362	-10.7234	-7.47692	-5.35695	-9.18923
14.4848	10	0	-5.96762	-14.7403	-10.8171	-7.47692	-5.45796	-9.18923
14.5859	10	0	-5.86661	-14.8445	-10.9123	-7.47692	-5.55897	-9.18923
14.6869	10	0	-5.7656	-14.9486	-11.0088	-7.47692	-5.65998	-9.18923
14.7879	10	0	-5.66459	-15.0528	-11.1064	-7.47692	-5.76099	-9.18923
