z [pc] 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
50	0	0	4.15169e+18	0.2	0.039936	4.50585e+40
50.7123	2.3308	0.582132	4.83431e+18	0.304	0.0890708	5.31948e+41
51.4348	4.69481	0.930549	5.39202e+18	0.337	0.105937	7.07997e+41
52.1675	7.0925	1.20324	5.89607e+18	0.362	0.118313	8.61239e+41
52.9107	9.52434	1.42475	6.35997e+18	0.384	0.128815	1.0005e+42
53.6645	11.9908	1.62044	6.80077e+18	0.403	0.137267	1.12917e+42
54.4291	14.4925	1.78829	7.21655e+18	0.421	0.144871	1.24708e+42
55.2045	17.0297	1.93669	7.61335e+18	0.438	0.151584	1.35493e+42
55.9909	19.6031	2.08095	8.00451e+18	0.453	0.156753	1.45689e+42
56.7886	22.2132	2.20698	8.37757e+18	0.468	0.161644	1.54829e+42
57.5976	24.8605	2.32725	8.74382e+18	0.482	0.165626	1.63301e+42
58.4182	27.5455	2.43451	9.09616e+18	0.496	0.169314	1.70768e+42
59.2504	30.2687	2.55042	9.45664e+18	0.508	0.171535	1.7823e+42
60.0946	33.0307	2.64674	9.79627e+18	0.521	0.174063	1.84307e+42
60.9507	35.8321	2.74464	1.01371e+19	0.533	0.175748	1.90046e+42
61.819	38.6734	2.84533	1.04811e+19	0.544	0.17664	1.95567e+42
62.6997	41.5551	2.92911	1.0806e+19	0.556	0.177802	1.9968e+42
63.593	44.4779	3.01725	1.11358e+19	0.567	0.1782	2.03667e+42
64.4989	47.4424	3.11051	1.14722e+19	0.577	0.177896	2.07637e+42
65.4178	50.4491	3.18849	1.17905e+19	0.588	0.177833	2.10204e+42
66.3498	53.4986	3.27262	1.21168e+19	0.598	0.177109	2.12841e+42
67.295	56.5916	3.35278	1.24387e+19	0.608	0.176184	2.14848e+42
68.2537	59.7286	3.42931	1.27566e+19	0.618	0.175061	2.1624e+42
69.2261	62.9103	3.50251	1.30706e+19	0.628	0.17374	2.17034e+42
70.2123	66.1373	3.58336	1.33957e+19	0.637	0.171894	2.18115e+42
71.2126	69.4104	3.66144	1.3718e+19	0.646	0.169899	2.18674e+42
72.2271	72.73	3.72616	1.40227e+19	0.656	0.168037	2.17822e+42
73.2561	76.097	3.81011	1.43552e+19	0.664	0.165468	2.18291e+42
74.2997	79.5119	3.88105	1.46705e+19	0.673	0.163036	2.1738e+42
75.3582	82.9754	3.94994	1.49839e+19	0.682	0.160463	2.16012e+42
76.4318	86.4883	4.02788	1.53116e+19	0.69	0.157563	2.15174e+42
77.5207	90.0513	4.09313	1.56217e+19	0.699	0.154738	2.12953e+42
78.6251	93.665	4.16773	1.5947e+19	0.707	0.151637	2.11321e+42
79.7452	97.3302	4.24086	1.62714e+19	0.715	0.14845	2.0932e+42
80.8813	101.048	4.3126	1.65951e+19	0.723	0.145181	2.06964e+42
82.0335	104.818	4.38306	1.69181e+19	0.731	0.14183	2.04266e+42
83.2022	108.642	4.45232	1.72406e+19	0.739	0.138402	2.0124e+42
84.3875	112.521	4.53165	1.75807e+19	0.746	0.134863	1.9895e+42
85.5898	116.454	4.59877	1.79027e+19	0.754	0.131308	1.95316e+42
86.8091	120.444	4.67619	1.8243e+19	0.761	0.127688	1.92459e+42
88.0458	124.491	4.74146	1.8565e+19	0.769	0.124018	1.88268e+42
89.3002	128.595	4.81722	1.89059e+19	0.776	0.120326	1.8489e+42
90.5724	132.758	4.89226	1.92473e+19	0.783	0.116612	1.81273e+42
91.8627	136.98	4.96664	1.95894e+19	0.79	0.112876	1.77425e+42
93.1714	141.263	5.04041	1.99322e+19	0.797	0.109121	1.73357e+42
94.4988	145.606	5.11361	2.02757e+19	0.804	0.105349	1.6908e+42
95.845	150.011	5.19788	2.06405e+19	0.81	0.101693	1.65703e+42
97.2105	154.479	5.27011	2.09861e+19	0.817	0.09791	1.61039e+42
98.5954	159.01	5.34191	2.13327e+19	0.824	0.094116	1.56194e+42
100	163.607	5.42504	2.17016e+19	0.83	0.0904899	1.52284e+42
Lnt total	8.81645e+43
