t_obs [yr]	z [pc] 	t_lab [yr]	Rc/Rj	g=Gc/Gj	rho_c	rho_j	Lnt	Lnt_obs
0	50	0	0.132922	0.1	2.66887e-24	4.94928e-29	3.25692e+40	3.17065e+40
359.59	51.7476	5.71846	0.474474	0.100012	3.57023e-25	4.62063e-29	1.1988e+41	1.16729e+41
531.989	53.5563	11.6368	0.677027	0.100057	1.89033e-25	4.3138e-29	1.76763e+41	1.72204e+41
653.831	55.4283	17.762	0.81575	0.10012	1.29011e-25	4.02735e-29	2.1862e+41	2.13091e+41
751.754	57.3656	24.1013	0.916244	0.100197	9.78398e-26	3.75992e-29	2.51004e+41	2.44781e+41
835.718	59.3707	30.6621	0.990615	0.100284	7.85759e-26	3.51025e-29	2.76562e+41	2.69838e+41
910.573	61.4458	37.4523	1.04581	0.100379	6.54054e-26	3.27715e-29	2.83837e+41	2.7707e+41
979.065	63.5935	44.4798	1.08632	0.10048	5.57872e-26	3.05954e-29	2.88011e+41	2.81276e+41
1042.91	65.8163	51.753	1.11524	0.100586	4.843e-26	2.85637e-29	2.91772e+41	2.85078e+41
1103.25	68.1167	59.2803	1.13487	0.100697	4.26058e-26	2.6667e-29	2.95172e+41	2.88525e+41
1160.91	70.4976	67.0708	1.14692	0.100811	3.78719e-26	2.48962e-29	2.98252e+41	2.91659e+41
1216.47	72.9616	75.1335	1.15276	0.100928	3.39433e-26	2.3243e-29	3.01046e+41	2.9451e+41
1270.39	75.5118	83.4781	1.15346	0.101048	3.06273e-26	2.16996e-29	3.03583e+41	2.97107e+41
1323.03	78.1512	92.1143	1.14991	0.10117	2.77893e-26	2.02587e-29	3.05887e+41	2.99472e+41
1374.67	80.8827	101.052	1.14284	0.101294	2.5332e-26	1.89134e-29	3.07977e+41	3.01626e+41
1425.54	83.7098	110.303	1.13283	0.101419	2.31832e-26	1.76575e-29	3.09872e+41	3.03585e+41
1475.84	86.6357	119.877	1.1204	0.101545	2.12883e-26	1.6485e-29	3.11589e+41	3.05366e+41
1525.73	89.6638	129.785	1.10597	0.101673	1.96051e-26	1.53903e-29	3.1314e+41	3.0698e+41
1575.35	92.7978	140.04	1.08991	0.101802	1.81005e-26	1.43683e-29	3.14538e+41	3.08442e+41
1624.83	96.0413	150.653	1.07251	0.101931	1.6748e-26	1.34142e-29	3.15794e+41	3.0976e+41
1674.27	99.3982	161.637	1.05405	0.102061	1.55263e-26	1.25235e-29	3.1692e+41	3.10946e+41
1723.77	102.872	173.005	1.03474	0.102192	1.4418e-26	1.16919e-29	3.17923e+41	3.12008e+41
1773.42	106.468	184.771	1.01479	0.102323	1.34086e-26	1.09155e-29	3.18811e+41	3.12954e+41
1823.31	110.189	196.947	0.99435	0.102454	1.24863e-26	1.01907e-29	3.17788e+41	3.12019e+41
1873.49	114.041	209.55	0.973574	0.102585	1.16408e-26	9.51397e-30	3.11813e+41	3.06216e+41
1924.06	118.027	222.592	0.952583	0.102717	1.08637e-26	8.88221e-30	3.05652e+41	3.00223e+41
1975.06	122.152	236.091	0.931481	0.102849	1.01477e-26	8.2924e-30	2.99349e+41	2.94085e+41
2026.56	126.422	250.062	0.910359	0.102981	9.48649e-27	7.74175e-30	2.92943e+41	2.8784e+41
2078.62	130.84	264.52	0.889294	0.103113	8.87466e-27	7.22767e-30	2.8647e+41	2.81523e+41
2131.3	135.414	279.484	0.868353	0.103245	8.30749e-27	6.74773e-30	2.79959e+41	2.75163e+41
2184.65	140.147	294.971	0.847592	0.103377	7.78087e-27	6.29966e-30	2.73437e+41	2.68787e+41
2238.72	145.045	311	0.827058	0.103509	7.29117e-27	5.88134e-30	2.66926e+41	2.62417e+41
2293.56	150.115	327.589	0.806793	0.103641	6.83519e-27	5.49079e-30	2.60448e+41	2.56074e+41
2349.23	155.362	344.757	0.786829	0.103773	6.41009e-27	5.12619e-30	2.54018e+41	2.49774e+41
2405.78	160.792	362.526	0.767195	0.103905	6.01336e-27	4.78579e-30	2.47652e+41	2.43533e+41
2463.25	166.412	380.915	0.747913	0.104037	5.64272e-27	4.46799e-30	2.41363e+41	2.37362e+41
2521.69	172.228	399.948	0.729001	0.104169	5.29616e-27	4.1713e-30	2.35161e+41	2.31274e+41
2581.15	178.248	419.645	0.710475	0.1043	4.97185e-27	3.89431e-30	2.29055e+41	2.25277e+41
2641.69	184.479	440.031	0.692345	0.104432	4.66814e-27	3.63572e-30	2.23053e+41	2.19379e+41
2703.34	190.927	461.13	0.67462	0.104564	4.38354e-27	3.39429e-30	2.17161e+41	2.13586e+41
2766.16	197.6	482.966	0.657304	0.104695	4.1167e-27	3.1689e-30	2.11385e+41	2.07904e+41
2830.21	204.506	505.566	0.640403	0.104827	3.86637e-27	2.95847e-30	2.05727e+41	2.02336e+41
2895.52	211.654	528.955	0.623917	0.104958	3.63142e-27	2.76202e-30	2.00192e+41	1.96886e+41
2962.15	219.052	553.162	0.607845	0.10509	3.41082e-27	2.57861e-30	1.94781e+41	1.91555e+41
3030.15	226.709	578.214	0.592187	0.105221	3.20363e-27	2.40738e-30	1.89496e+41	1.86347e+41
3099.58	234.633	604.143	0.576939	0.105353	3.00896e-27	2.24752e-30	1.84338e+41	1.81262e+41
3170.48	242.834	630.978	0.562098	0.105485	2.82602e-27	2.09828e-30	1.79308e+41	1.76299e+41
3242.91	251.321	658.75	0.547658	0.105616	2.65405e-27	1.95895e-30	1.74404e+41	1.71461e+41
3316.93	260.106	687.494	0.533615	0.105748	2.49236e-27	1.82887e-30	1.69627e+41	1.66745e+41
3392.59	269.197	717.242	0.51996	0.10588	2.34033e-27	1.70742e-30	1.64975e+41	1.62151e+41
3469.94	278.606	748.03	0.506689	0.106011	2.19735e-27	1.59404e-30	1.60448e+41	1.57678e+41
3549.05	288.344	779.894	0.493793	0.106143	2.06288e-27	1.48819e-30	1.56044e+41	1.53325e+41
3629.97	298.423	812.871	0.481264	0.106275	1.93639e-27	1.38937e-30	1.5176e+41	1.49089e+41
3712.77	308.853	847.002	0.469096	0.106408	1.81742e-27	1.29711e-30	1.47596e+41	1.4497e+41
3797.5	319.648	882.325	0.457279	0.10654	1.70551e-27	1.21098e-30	1.43548e+41	1.40965e+41
3884.23	330.821	918.883	0.445806	0.106673	1.60025e-27	1.13057e-30	1.39615e+41	1.37072e+41
3973.03	342.384	956.719	0.434667	0.106806	1.50124e-27	1.05549e-30	1.35795e+41	1.33289e+41
4063.96	354.351	995.877	0.423855	0.106939	1.40812e-27	9.85404e-31	1.32085e+41	1.29614e+41
4157.09	366.737	1036.4	0.413361	0.107072	1.32054e-27	9.1997e-31	1.28482e+41	1.26043e+41
4252.49	379.555	1078.35	0.403177	0.107206	1.23818e-27	8.5888e-31	1.24983e+41	1.22576e+41
4350.23	392.821	1121.76	0.393294	0.10734	1.16073e-27	8.01848e-31	1.21588e+41	1.19208e+41
4450.38	406.551	1166.68	0.383703	0.107474	1.08792e-27	7.48602e-31	1.18291e+41	1.15938e+41
4553.03	420.761	1213.18	0.374396	0.107609	1.01947e-27	6.98892e-31	1.15092e+41	1.12764e+41
