log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-5.53197	51.7476	359.59	34.5815	0	0	24.1673	34.5815
-5.29964	51.7476	359.59	34.695	0	0	24.6512	34.695
-5.06732	51.7476	359.59	34.8095	0	0	25.0875	34.8095
-4.835	51.7476	359.59	34.931	0	0	25.491	34.931
-4.60268	51.7476	359.59	35.0461	0	0	25.8616	35.0461
-4.37035	51.7476	359.59	35.1592	0	0	26.1713	35.1592
-4.13803	51.7476	359.59	35.2788	0	0	26.4623	35.2788
-3.90571	51.7476	359.59	35.3927	0	0	26.7368	35.3927
-3.67338	51.7476	359.59	35.5045	0	24.1594	26.9828	35.5045
-3.44106	51.7476	359.59	35.6251	0	25.3994	27.2124	35.6251
-3.20874	51.7476	359.59	35.7429	0	26.3004	27.4331	35.7429
-2.97641	51.7476	359.59	35.8568	0	27.1068	27.6465	35.8568
-2.74409	51.7476	359.59	35.9767	0	27.865	27.8363	35.9767
-2.51177	51.7476	359.59	36.0927	0	28.5928	28.0253	36.0927
-2.27944	51.7476	359.59	36.2035	0	29.298	28.214	36.2035
-2.04712	51.7476	359.59	36.3221	0	29.9829	28.3805	36.3221
-1.8148	51.7476	359.59	36.4406	0	30.6447	28.5519	36.4406
-1.58247	51.7476	359.59	36.5536	22.0757	31.2743	28.7253	36.5536
-1.35015	51.7476	359.59	36.6727	25.005	31.8552	28.8815	36.6727
-1.11783	51.7476	359.59	36.7912	25.8912	32.3659	29.0358	36.7912
-0.885503	51.7476	359.59	36.9021	26.6609	32.7984	29.1982	36.9021
-0.65318	51.7476	359.59	37.0185	27.3871	33.1767	29.3453	37.0186
-0.420857	51.7476	359.59	37.1373	28.0912	33.5238	29.4952	37.1374
-0.188534	51.7476	359.59	37.2495	28.7808	33.8387	29.6487	37.2497
0.0437896	51.7476	359.59	37.3668	29.4573	34.1145	29.7902	37.3671
0.276113	51.7476	359.59	37.4874	30.118	34.3546	29.932	37.4877
0.508436	51.7476	359.59	37.5996	30.7546	34.5823	30.08	37.6
0.740759	51.7476	359.59	37.7141	31.3518	34.789	30.2193	37.7146
0.973082	51.7476	359.59	37.8327	31.8883	34.9794	30.3611	37.8333
1.20541	51.7476	359.59	37.9436	32.3473	35.1476	30.5058	37.9443
1.43773	51.7476	359.59	38.0567	32.7413	35.3237	30.6387	38.0575
1.67005	51.7476	359.59	38.176	33.0988	35.4829	30.7777	38.1769
1.90238	51.7476	359.59	38.2877	33.4248	35.6209	30.9171	38.2886
2.1347	51.7476	359.59	38.3979	33.7143	35.7742	31.0499	38.3989
2.36702	51.7476	359.59	38.5119	33.9689	35.9092	31.1885	38.513
2.59935	51.7476	359.59	38.6164	34.1948	36.0177	31.3275	38.6175
2.83167	51.7476	359.59	38.7169	34.4187	36.1568	31.4538	38.7182
3.06399	51.7476	359.59	38.8228	34.6119	36.2946	31.5962	38.8241
3.29631	51.7476	359.59	38.9192	34.7796	36.4203	31.7309	38.9207
3.52864	51.7476	359.59	39.0066	34.959	36.5305	31.8561	39.0081
3.76096	51.7476	359.59	39.0949	35.1228	36.6728	31.9843	39.0966
3.99328	51.7476	359.59	39.1685	35.2557	36.7816	32.1217	39.1704
4.22561	51.7476	359.59	39.2244	35.4075	36.8931	32.2516	39.2265
4.45793	51.7476	359.59	39.2799	35.5549	37.0484	32.3791	39.2825
4.69025	51.7476	359.59	39.3204	35.6855	37.1075	32.5122	39.3232
4.92258	51.7476	359.59	39.3316	35.8015	37.2648	32.6388	39.3354
5.1549	51.7476	359.59	39.331	35.9329	37.3405	32.7657	39.3356
5.38722	51.7476	359.59	39.2985	36.0697	37.4912	32.894	39.3054
5.61955	51.7476	359.59	39.1794	36.1785	37.5772	33.0205	39.1905
5.85187	51.7476	359.59	38.9685	36.3125	37.7424	33.135	38.9945
6.08419	51.7476	359.59	38.6882	36.4468	37.8277	33.2738	38.7465
6.31652	51.7476	359.59	38.2824	36.5198	37.9736	33.3883	38.4609
6.54884	51.7476	359.59	37.6063	36.6727	38.0725	33.5042	38.2129
6.78116	51.7476	359.59	36.3096	36.7353	38.2153	33.6163	38.2346
7.01349	51.7476	359.59	33.8819	36.8875	38.321	33.7326	38.3368
7.24581	51.7476	359.59	29.5179	37.0107	38.4673	33.8431	38.4822
7.47813	51.7476	359.59	21.8479	37.132	38.5207	33.9569	38.5381
7.71046	51.7476	359.59	8.53341	37.227	38.6838	34.064	38.6987
7.94278	51.7476	359.59	-14.4182	37.3511	38.7939	34.1779	38.8093
8.1751	51.7476	359.59	-53.8239	37.4142	38.9525	34.2757	38.9649
