log(r)=19.49	t=7.42632	t=7.52632	t=7.62632	t=7.72632	t=7.82632	t=7.92632	t=8.02632	t=8.12632	t=8.22632	t=8.32632	t=8.42632	t=8.52632	t=8.62632	t=8.72632	t=8.82632	t=8.92632	t=9.02632	t=9.12632	t=9.22632	t=9.32632	t=9.42632	
12.12	0	0	0	0	0	0	0	0	0	0	-12.8004	-12.8003	-12.8003	-12.8003	-12.8003	-12.8003	-12.8003	-12.8003	-12.8003	-12.8003	-12.8003	
12.3	0	0	0	0	0	0	0	0	0	0	-13.3769	-13.3768	-13.3768	-13.3768	-13.3768	-13.3768	-13.3768	-13.3768	-13.3768	-13.3768	-13.3768	
12.48	0	0	0	0	0	0	0	0	0	0	-13.9653	-13.9651	-13.9651	-13.9651	-13.9651	-13.9651	-13.9651	-13.9651	-13.9651	-13.9651	-13.9651	
12.66	0	0	0	0	0	0	0	0	0	0	-14.5702	-14.5698	-14.5697	-14.5697	-14.5697	-14.5697	-14.5697	-14.5697	-14.5697	-14.5697	-14.5697	
12.84	0	0	0	0	0	0	0	0	0	0	-15.1843	-15.1836	-15.1835	-15.1834	-15.1834	-15.1834	-15.1834	-15.1834	-15.1834	-15.1834	-15.1834	
13.02	0	0	0	0	0	0	0	0	0	0	-15.8241	-15.8227	-15.8224	-15.8224	-15.8223	-15.8223	-15.8223	-15.8223	-15.8223	-15.8223	-15.8223	
13.2	0	0	0	0	0	0	0	0	0	0	-16.4938	-16.491	-16.4904	-16.4903	-16.4902	-16.4902	-16.4902	-16.4902	-16.4902	-16.4902	-16.4902	
13.38	0	0	0	0	0	0	0	0	0	0	-17.2041	-17.1978	-17.1964	-17.1961	-17.1961	-17.196	-17.196	-17.196	-17.196	-17.196	-17.196	
13.56	0	0	0	0	0	0	0	0	0	0	-17.9666	-17.9504	-17.9469	-17.9462	-17.946	-17.946	-17.9459	-17.9459	-17.9459	-17.9459	-17.9459	
13.74	0	0	0	0	0	0	0	0	0	0	-18.7566	-18.7143	-18.7056	-18.7037	-18.7032	-18.7031	-18.7031	-18.7031	-18.7031	-18.7031	-18.7031	
13.92	0	0	0	0	0	0	0	0	0	0	-19.449	-19.3627	-19.3458	-19.3422	-19.3414	-19.3413	-19.3412	-19.3412	-19.3412	-19.3412	-19.3412	
14.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
