log(E)=10.5	t=7.78022	t=7.98022	t=8.18022	t=8.38022	t=8.58022	t=8.78022	t=8.98022	t=9.18022	t=9.38022	t=9.58022	t=9.78022	
1	47.9435	47.9435	47.9435	47.9435	47.9435	47.9435	47.9435	47.9435	47.9435	47.9435	47.9435	
1.58489	0	48.1435	48.3434	48.5443	48.7326	49.1271	0	52.3173	0	56.7689	0	
2.51189	0	0	48.5434	48.9446	49.3271	50.0017	0	53.7144	0	58.5676	0	
3.98107	0	0	0	49.1446	49.7253	50.6271	0	54.7729	0	60.0266	0	
6.30957	0	0	0	0	49.9253	51.0348	0	55.591	0	61.2449	0	
10	0	0	0	0	0	51.2348	0	56.1964	0	62.2504	0	
15.8489	0	0	0	0	0	0	0	56.598	0	63.052	0	
25.1189	0	0	0	0	0	0	0	56.798	0	63.6524	0	
39.8107	0	0	0	0	0	0	0	0	0	64.0525	0	
63.0957	0	0	0	0	0	0	0	0	0	64.2525	0	
100	0	0	0	0	0	0	0	0	0	0	0	
