18:31:03 
18:37:05 
log(E/eV)	log(Lsyn/erg s-1)	log(Lic/erg s-1)	log(LicCMB/erg s-1)
-5.39864	41.7259	0	0
-3.49864	42.6495	0	27.3831
-1.59864	43.4421	0	30.813
0.30136	44.2881	37.6189	33.0721
2.20136	45.4316	45.3538	34.21
4.10136	46.5634	-16.864	35.13
6.00136	47.1839	0	35.8915
7.90136	46.3507	0	36.8009
9.80136	34.9837	0	38.0182
11.7014	0	0	39.1298
13.6014	0	0	39.0853
