log(r)=18.89	t=7.78022	t=7.98022	t=8.18022	t=8.38022	t=8.58022	t=8.78022	t=8.98022	t=9.18022	t=9.38022	t=9.58022	t=9.78022	
6	0	0	57.075	57.475	57.875	58.2751	58.6707	59.2575	0	63.6461	0	
6.75	0	0	56.7941	57.1941	57.5941	57.9941	58.3925	58.8691	0	62.9233	0	
7.5	0	0	55.554	55.954	56.354	56.7542	57.1497	57.739	0	62.1323	0	
8.25	0	0	53.9798	54.3798	54.7798	55.1806	55.5516	56.6196	0	61.3598	0	
9	0	0	52.1959	52.5959	52.9957	53.402	53.5132	55.6207	0	60.4574	0	
9.75	0	0	50.3566	50.7567	51.1545	51.5999	0	54.6399	0	59.4911	0	
10.5	0	0	48.5434	48.9446	49.3271	50.0017	0	53.7144	0	58.5676	0	
11.25	0	0	46.3748	46.7845	47.0144	48.4695	0	52.4717	0	57.3252	0	
12	0	0	43.9704	44.4495	0	46.9614	0	51.0158	0	55.8694	0	
12.75	0	0	41.3561	42.3171	0	45.4615	0	49.5226	0	54.3761	0	
13.5	0	0	0	40.6439	0	43.962	0	48.0237	0	52.8773	0	
14.25	0	0	0	0	0	0	0	0	0	0	0	
15	0	0	0	0	0	0	0	0	0	0	0	
