Log(E/eV)	z [pc]	tobs [yr]	Synchr	IC	IC - IR	Esc	Acc
15.1111	50	0	-4.96938	-14.5877	-10.3178	-9.56934	-5.89823
15.2222	50	0	-4.85827	-14.7022	-10.4263	-9.56934	-6.00934
15.3333	50	0	-4.74716	-14.8167	-10.5358	-9.56934	-6.12046
15.4444	50	0	-4.63605	-14.9312	-10.6462	-9.56934	-6.23157
15.5556	50	0	-4.52494	-15.0457	-10.7572	-9.56934	-6.34268
15.6667	50	0	-4.41382	-15.1602	-10.8688	-9.56934	-6.45379
15.7778	50	0	-4.30271	-15.2747	-10.9809	-9.56934	-6.5649
15.8889	50	0	-4.1916	-15.3891	-11.0934	-9.56934	-6.67601
16	50	0	-4.08049	-15.5036	-11.2062	-9.56934	-6.78712
16.1111	50	0	-3.96938	-15.6181	-11.3192	-9.56934	-6.89823
16.2222	50	0	-3.85827	-15.7325	-11.4325	-9.56934	-7.00934
16.3333	50	0	-3.74716	-15.8469	-11.5459	-9.56934	-7.12046
16.4444	50	0	-3.63605	-15.9613	-11.6595	-9.56934	-7.23157
16.5556	50	0	-3.52494	-16.0757	-11.7732	-9.56934	-7.34268
16.6667	50	0	-3.41382	-16.1901	-11.8869	-9.56934	-7.45379
16.7778	50	0	-3.30271	-16.3045	-12.0007	-9.56934	-7.5649
16.8889	50	0	-3.1916	-16.4188	-12.1146	-9.56934	-7.67601
17	50	0	-3.08049	-16.5332	-12.2285	-9.56934	-7.78712
