log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	10	0	35.9259	0	0	0
-5.76768	10	0	36.0499	0	0	23.87
-5.53535	10	0	36.1648	0	0	24.4792
-5.30303	10	0	36.2876	0	0	24.9724
-5.07071	10	0	36.4143	0	0	25.4201
-4.83838	10	0	36.5286	0	0	25.8402
-4.60606	10	0	36.6415	0	0	26.2373
-4.37374	10	0	36.7643	0	0	26.5895
-4.14141	10	0	36.8803	0	0	26.9167
-3.90909	10	0	36.9884	0	0	27.2258
-3.67677	10	0	37.1074	0	21.5588	27.5269
-3.44444	10	0	37.2312	0	22.8029	27.7636
-3.21212	10	0	37.3451	0	23.7076	28.0074
-2.9798	10	0	37.4606	0	24.5169	28.2435
-2.74747	10	0	37.5845	0	25.2775	28.4513
-2.51515	10	0	37.699	0	26.0075	28.6532
-2.28283	10	0	37.8067	0	26.7149	28.8445
-2.05051	10	0	37.9255	0	27.4018	29.0452
-1.81818	10	0	38.0459	0	28.0659	29.2106
-1.58586	10	0	38.1563	20.0784	28.6985	29.3802
-1.35354	10	0	38.272	23.0116	29.284	29.5535
-1.12121	10	0	38.3969	23.9015	29.8027	29.7079
-0.888889	10	0	38.5114	24.6743	30.2483	29.8641
-0.656566	10	0	38.6204	25.403	30.6456	30.0282
-0.424242	10	0	38.7397	26.1092	31.0182	30.1887
-0.191919	10	0	38.8563	26.8008	31.3661	30.3356
0.040404	10	0	38.9619	27.4792	31.6835	30.4837
0.272727	10	0	39.074	28.1417	31.9749	30.6377
0.505051	10	0	39.1941	28.7806	32.2417	30.7727
0.737374	10	0	39.3029	29.3816	32.49	30.9305
0.969697	10	0	39.4063	29.9244	32.7012	31.0631
1.20202	10	0	39.5157	30.3943	32.8917	31.2091
1.43434	10	0	39.6132	30.8048	33.0752	31.3448
1.66667	10	0	39.6912	31.185	33.2639	31.4834
1.89899	10	0	39.7701	31.5415	33.4155	31.6294
2.13131	10	0	39.8491	31.8711	33.5461	31.7619
2.36364	10	0	39.9039	32.17	33.715	31.896
2.59596	10	0	39.9464	32.4441	33.8584	32.0347
2.82828	10	0	40.0015	32.6984	33.9718	32.1708
3.06061	10	0	40.0435	32.9319	34.0966	32.3027
3.29293	10	0	40.0558	33.1254	34.2377	32.4321
3.52525	10	0	40.0704	33.3088	34.3375	32.5703
3.75758	10	0	40.0948	33.5	34.4685	32.6748
3.9899	10	0	40.091	33.6579	34.618	32.8225
4.22222	10	0	40.0707	33.8025	34.7025	32.9547
4.45455	10	0	40.0769	33.9505	34.8331	33.0807
4.68687	10	0	40.0817	34.1073	34.9776	33.2076
4.91919	10	0	40.061	34.2221	35.079	33.3436
5.15152	10	0	40.0475	34.354	35.2164	33.4635
5.38384	10	0	40.0444	34.4975	35.2777	33.588
5.61616	10	0	40.0052	34.6063	35.4536	33.7121
5.84848	10	0	39.942	34.7127	35.5981	33.8334
6.08081	10	0	39.9052	34.8603	35.6682	33.9527
6.31313	10	0	39.8578	34.9852	35.8306	34.0704
6.54545	10	0	39.7677	35.0892	35.9055	34.1885
6.77778	10	0	39.6849	35.22	36.0456	34.3012
7.0101	10	0	39.625	35.3062	36.1061	34.4113
7.24242	10	0	39.5114	35.4403	36.2846	34.5305
7.47475	10	0	39.3391	35.5217	36.3591	34.6364
7.70707	10	0	39.1886	35.6591	36.5028	34.7321
7.93939	10	0	39.0194	35.8029	36.6183	34.8376
8.17172	10	0	38.7425	35.8473	36.7705	34.9387
8.40404	10	0	38.3734	35.9986	36.8885	35.0375
8.63636	10	0	38.0547	36.0654	36.9766	35.1257
8.86869	10	0	37.7087	36.1749	37.085	35.2194
9.10101	10	0	37.2286	36.223	37.2105	35.3012
9.33333	10	0	36.6492	36.3335	37.3024	35.3915
9.56566	10	0	36.0858	36.3312	37.4391	35.4717
9.79798	10	0	35.452	36.4126	37.5393	35.5521
10.0303	10	0	34.5337	36.4323	37.6447	35.6256
10.2626	10	0	33.1236	36.4957	37.7435	35.6792
10.4949	10	0	31.801	36.5481	37.8736	35.7575
10.7273	10	0	29.7549	36.4715	37.8104	35.7899
10.9596	10	0	27.6824	36.4879	37.9685	35.8145
11.1919	10	0	25.1544	36.1681	38.0094	35.8456
11.4242	10	0	20.629	35.8941	38.0142	35.802
11.6566	10	0	12.6834	35.9939	37.979	35.7853
11.8889	10	0	-1.10159	35.6415	37.9577	35.7304
12.1212	10	0	-24.8566	35.7782	37.7137	35.7293
12.3535	10	0	-65.6338	35.447	37.8245	35.5931
12.5859	10	0	-135.474	35.8383	37.4563	35.4136
12.8182	10	0	-254.935	33.8745	37.4408	35.2691
13.0505	10	0	0	33.3725	37.0385	35.1458
13.2828	10	0	0	33.3425	37.023	35.0001
13.5152	10	0	0	32.8058	36.5608	34.7155
13.7475	10	0	0	32.8347	36.571	34.5161
13.9798	10	0	0	32.4736	36.0872	34.1097
14.2121	10	0	0	30.2699	34.2757	33.6293
14.4444	10	0	0	29.9638	33.9774	33.3537
14.6768	10	0	0	28.9692	32.9915	32.4748
14.9091	10	0	0	28.3533	32.38	31.8912
15.1414	10	0	0	27.1885	31.2172	30.7509
15.3737	10	0	0	26.2738	30.2967	29.5368
15.6061	10	0	0	18.4436	22.4912	23.6114
15.8384	10	0	0	0	0	0
16.0707	10	0	0	0	0	0
16.303	10	0	0	0	0	0
16.5354	10	0	0	0	0	0
16.7677	10	0	0	0	0	0
17	10	0	0	0	0	0
-5.53633	10.3339	0.228364	38.0079	0	0	0
-5.30401	10.3339	0.228364	38.1304	0	0	26.3189
-5.07169	10.3339	0.228364	38.2448	0	0	26.9252
-4.83936	10.3339	0.228364	38.3678	0	0	27.415
-4.60704	10.3339	0.228364	38.4938	0	0	27.8587
-4.37472	10.3339	0.228364	38.6072	0	0	28.2729
-4.14239	10.3339	0.228364	38.7205	0	0	28.6614
-3.91007	10.3339	0.228364	38.8434	0	0	29.0006
-3.67775	10.3339	0.228364	38.9584	0	0	29.3116
-3.44542	10.3339	0.228364	39.0666	0	0	29.6069
-3.2131	10.3339	0.228364	39.1863	0	25.4546	29.8966
-2.98078	10.3339	0.228364	39.3096	0	26.6284	30.1236
-2.74845	10.3339	0.228364	39.4228	0	27.4742	30.3586
-2.51613	10.3339	0.228364	39.5388	0	28.2357	30.5869
-2.28381	10.3339	0.228364	39.6624	0	28.9561	30.7891
-2.05148	10.3339	0.228364	39.7756	0	29.6484	30.986
-1.81916	10.3339	0.228364	39.8829	0	30.3138	31.1731
-1.58684	10.3339	0.228364	40.0013	0	30.9449	31.3698
-1.35451	10.3339	0.228364	40.1196	0	31.5269	31.5326
-1.12219	10.3339	0.228364	40.2272	23.7459	32.0399	31.6997
-0.889868	10.3339	0.228364	40.34	26.6695	32.4785	31.8707
-0.657545	10.3339	0.228364	40.4595	27.5498	32.8686	32.0235
-0.425222	10.3339	0.228364	40.5652	28.3127	33.2325	32.1781
-0.192899	10.3339	0.228364	40.6626	29.0296	33.5689	32.3405
0.0394247	10.3339	0.228364	40.7668	29.7198	33.8738	32.4994
0.271748	10.3339	0.228364	40.8615	30.3872	34.146	32.6451
0.504071	10.3339	0.228364	40.9368	31.0267	34.397	32.792
0.736394	10.3339	0.228364	41.0137	31.6253	34.6354	32.9445
0.968718	10.3339	0.228364	41.0952	32.1636	34.8399	33.0786
1.20104	10.3339	0.228364	41.1557	32.6269	35.0153	33.2348
1.43336	10.3339	0.228364	41.2026	33.03	35.2012	33.3658
1.66569	10.3339	0.228364	41.2583	33.4025	35.3755	33.51
1.89801	10.3339	0.228364	41.3009	33.7493	35.5198	33.6437
2.13033	10.3339	0.228364	41.3142	34.0657	35.6557	33.7801
2.36266	10.3339	0.228364	41.3299	34.3477	35.817	33.9234
2.59498	10.3339	0.228364	41.3606	34.6061	35.9595	34.0525
2.8273	10.3339	0.228364	41.3698	34.8488	36.0663	34.1831
3.05963	10.3339	0.228364	41.3668	35.0687	36.2048	34.3178
3.29195	10.3339	0.228364	41.3888	35.2443	36.3453	34.4495
3.52427	10.3339	0.228364	41.4063	35.4327	36.4289	34.5765
3.7566	10.3339	0.228364	41.3942	35.6114	36.5605	34.7014
3.98892	10.3339	0.228364	41.3882	35.7626	36.7157	34.835
4.22124	10.3339	0.228364	41.3983	35.9111	36.8199	34.9298
4.45357	10.3339	0.228364	41.3816	36.0596	36.9271	35.0739
4.68589	10.3339	0.228364	41.3507	36.2059	37.0636	35.197
4.91821	10.3339	0.228364	41.3505	36.3053	37.1727	35.3204
5.15054	10.3339	0.228364	41.3492	36.4385	37.3137	35.442
5.38286	10.3339	0.228364	41.3236	36.5863	37.3788	35.5691
5.61518	10.3339	0.228364	41.3081	36.7218	37.5439	35.6787
5.84751	10.3339	0.228364	41.3018	36.8158	37.6748	35.7965
6.07983	10.3339	0.228364	41.2583	36.9482	37.7713	35.9106
6.31215	10.3339	0.228364	41.1938	37.0903	37.9285	36.0221
6.54448	10.3339	0.228364	41.1571	37.1865	38.0251	36.1294
6.7768	10.3339	0.228364	41.1064	37.3196	38.1696	36.239
7.00912	10.3339	0.228364	41.0139	37.429	38.2199	36.345
7.24144	10.3339	0.228364	40.9331	37.5554	38.398	36.4514
7.47377	10.3339	0.228364	40.8716	37.6423	38.447	36.5473
