z [pc] 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
10	0	0	6.59039e+17	0.2	0.039936	2.83851e+41
10.3339	1.0926	0.228364	9.54716e+17	0.329	0.100171	5.39595e+42
10.679	2.22168	0.276862	1.13112e+18	0.419	0.149201	7.95301e+42
11.0356	3.38846	0.336658	1.30367e+18	0.468	0.17122	9.92853e+42
11.404	4.59421	0.379627	1.45638e+18	0.513	0.188342	1.13748e+43
11.7848	5.84021	0.420518	1.60444e+18	0.55	0.197879	1.25373e+43
12.1783	7.12782	0.456501	1.7457e+18	0.584	0.20321	1.33667e+43
12.585	8.45843	0.490202	1.88356e+18	0.615	0.204643	1.39337e+43
13.0052	9.83346	0.521793	2.01852e+18	0.644	0.203032	1.42497e+43
13.4395	11.2544	0.552434	2.15236e+18	0.671	0.198744	1.43638e+43
13.8882	12.7228	0.582972	2.28655e+18	0.696	0.192212	1.43217e+43
14.352	14.2402	0.612475	2.41994e+18	0.72	0.184041	1.40967e+43
14.8312	15.8083	0.641418	2.55334e+18	0.743	0.174486	1.37174e+43
15.3264	17.4288	0.670183	2.68746e+18	0.765	0.163811	1.32102e+43
15.8382	19.1033	0.700709	2.8257e+18	0.785	0.152372	1.26751e+43
16.3671	20.8338	0.730029	2.96326e+18	0.805	0.140322	1.19847e+43
16.9136	22.6221	0.761647	3.10632e+18	0.823	0.128147	1.13115e+43
17.4783	24.4701	0.792462	3.24958e+18	0.841	0.115704	1.05165e+43
18.0619	26.3797	0.826022	3.39961e+18	0.857	0.103691	9.77486e+42
18.6651	28.3532	0.859103	3.55065e+18	0.873	0.0916958	8.93823e+42
19.2883	30.3925	0.893565	3.70627e+18	0.888	0.08016	8.09969e+42
19.9324	32.5	0.929576	3.86699e+18	0.902	0.0692269	7.27028e+42
20.5979	34.6778	0.967305	4.03332e+18	0.915	0.0590127	6.45975e+42
21.2857	36.9283	1.00692	4.20579e+18	0.927	0.0496072	5.67672e+42
21.9965	39.254	1.04861	4.38495e+18	0.938	0.0410741	4.92888e+42
22.7309	41.6573	1.09256	4.57136e+18	0.948	0.0334527	4.22312e+42
23.4899	44.1409	1.13896	4.76562e+18	0.957	0.0267596	3.56566e+42
24.2743	46.7074	1.18803	4.96837e+18	0.965	0.0209906	2.96225e+42
25.0848	49.3596	1.24	5.18027e+18	0.972	0.016123	2.41823e+42
25.9225	52.1004	1.29512	5.40204e+18	0.978	0.0121186	1.93869e+42
26.788	54.9327	1.35131	5.62939e+18	0.984	0.00843047	1.43657e+42
27.6825	57.8595	1.41349	5.87302e+18	0.988	0.00600508	1.09954e+42
28.6069	60.8841	1.4797	6.12897e+18	0.991	0.00426228	8.41782e+41
29.5621	64.0097	1.54768	6.39242e+18	0.994	0.00268908	5.72184e+41
30.5492	67.2396	1.62022	6.66963e+18	0.996	0.00169057	3.89092e+41
31.5693	70.5774	1.69485	6.95536e+18	0.998	0.000797112	1.9824e+41
32.6234	74.0267	1.77466	7.25646e+18	0.999	0.000374526	1.01058e+41
33.7127	77.5911	1.85695	7.56722e+18	1	-3.90735e-16	-1.14289e+29
34.8384	81.2746	1.94511	7.89516e+18	1	0	0
36.0017	85.081	2.0362	8.23406e+18	1	0	0
37.2038	89.0145	2.13034	8.58428e+18	1	0	0
38.4461	93.0794	2.22763	8.94619e+18	1	0	0
39.7299	97.2801	2.32816	9.32018e+18	1	0	0
41.0565	101.621	2.43205	9.70666e+18	1	0	0
42.4274	106.107	2.5394	1.01061e+19	1	0	0
43.8441	110.742	2.65034	1.05188e+19	1	0	0
45.3081	115.533	2.76499	1.09453e+19	1	0	0
46.821	120.483	2.88347	1.1386e+19	1	0	0
48.3844	125.599	3.0059	1.18415e+19	1	0	0
50	130.885	3.13241	1.23122e+19	1	0	0
Lnt total	2.76116e+44
