z [pc] 	t_lab [yr]	t_obs [yr]	Rc	g=Gc/Gj	Fe	Lnt
1	0	0	3.05899e+17	0.2	0.039936	6.11538e+41
1.08311	0.271949	0.244959	4.26359e+17	0.201	0.0343825	1.47812e+42
1.17313	0.5665	0.237909	5.10929e+17	0.246	0.0438112	7.59123e+42
1.27063	0.885532	0.272808	5.89502e+17	0.278	0.0475829	1.11575e+43
1.37623	1.23108	0.305165	6.65265e+17	0.305	0.0486903	1.37291e+43
1.49061	1.60534	0.331057	7.37708e+17	0.331	0.0487173	1.55609e+43
1.6145	2.01071	0.357966	8.11605e+17	0.354	0.0473214	1.68248e+43
1.74868	2.44978	0.381046	8.84443e+17	0.377	0.0455407	1.75843e+43
1.89401	2.92533	0.403672	9.58658e+17	0.399	0.0432545	1.79646e+43
2.05143	3.4404	0.426624	1.03521e+18	0.42	0.0406124	1.80585e+43
2.22192	3.99829	0.446302	1.11128e+18	0.442	0.0380616	1.78278e+43
2.40659	4.60254	0.46735	1.19095e+18	0.463	0.0353125	1.74393e+43
2.6066	5.257	0.488036	1.27294e+18	0.484	0.032586	1.68865e+43
2.82324	5.96587	0.508654	1.3577e+18	0.505	0.0299146	1.621e+43
3.05788	6.73364	0.529445	1.44567e+18	0.526	0.027324	1.54435e+43
3.31202	7.56523	0.550611	1.53726e+18	0.547	0.0248346	1.46147e+43
3.58728	8.46593	0.570369	1.63059e+18	0.569	0.0225218	1.36914e+43
3.88543	9.44149	0.592808	1.73065e+18	0.59	0.0202642	1.28038e+43
4.20835	10.4981	0.614161	1.83316e+18	0.612	0.0181817	1.18588e+43
4.5581	11.6426	0.636515	1.94088e+18	0.634	0.016221	1.09231e+43
4.93693	12.8822	0.659988	2.05428e+18	0.656	0.0143863	1.00056e+43
5.34724	14.2248	0.684697	2.17385e+18	0.678	0.0126796	9.11296e+42
5.79166	15.6789	0.710755	2.3001e+18	0.7	0.0111006	8.24996e+42
6.27301	17.254	0.736381	2.43062e+18	0.723	0.00965412	7.38098e+42
6.79436	18.9599	0.765483	2.57175e+18	0.745	0.00831933	6.58854e+42
7.35904	20.8076	0.794387	2.7181e+18	0.768	0.0071023	5.79804e+42
7.97066	22.8089	0.827008	2.87647e+18	0.79	0.00599723	5.08137e+42
8.63311	24.9765	0.861586	3.04449e+18	0.812	0.00500069	4.40187e+42
9.35061	27.3243	0.900195	3.22639e+18	0.833	0.00411504	3.788e+42
10.1277	29.8672	0.939127	3.41604e+18	0.855	0.00331835	3.17972e+42
10.9695	32.6214	0.98443	3.6252e+18	0.875	0.00263302	2.65774e+42
11.8812	35.6046	1.03242	3.84778e+18	0.895	0.00203351	2.16391e+42
12.8686	38.8356	1.08744	4.09304e+18	0.913	0.00153607	1.74301e+42
13.9381	42.3352	1.16971	4.4029e+18	0.92	0.00123562	1.58554e+42
15.0965	46.1257	1.20755	4.63331e+18	0.949	0.000746537	9.65013e+41
16.3512	50.2312	1.28913	4.96448e+18	0.96	0.000519304	7.43649e+41
17.7102	54.6779	1.3736	5.31428e+18	0.972	0.000323462	5.10573e+41
19.1821	59.4942	1.46862	5.69994e+18	0.982	0.000183663	3.22931e+41
20.7763	64.7107	1.57813	6.13137e+18	0.989	9.80699e-05	1.95085e+41
22.5031	70.3608	1.70124	6.60815e+18	0.994	4.64078e-05	1.05524e+41
24.3733	76.4805	1.83661	7.12884e+18	0.998	1.33727e-05	3.49373e+40
26.399	83.1088	1.989	7.70533e+18	1	-5.09784e-18	-1.54603e+28
28.593	90.288	2.16082	8.34452e+18	1	0	0
30.9694	98.0638	2.34691	9.03683e+18	1	0	0
33.5433	106.486	2.54848	9.78667e+18	1	0	0
36.3311	115.608	2.76679	1.05988e+19	1	0	0
39.3506	125.488	3.00325	1.14785e+19	1	0	0
42.6211	136.19	3.25936	1.24313e+19	1	0	0
46.1633	147.78	3.53676	1.34632e+19	1	0	0
50	160.334	3.83721	1.4581e+19	1	0	0
Lnt total	3.42874e+44
