log(E/eV)	z/pc	tobs/yr	Synchr	IC	IC - IR	SSC
-6	1	0	36.6368	0	0	0
-5.77778	1	0	36.7622	0	0	26.5902
-5.55556	1	0	36.8822	0	0	27.1872
-5.33333	1	0	36.9972	0	0	27.6664
-5.11111	1	0	37.1164	0	0	28.0991
-4.88889	1	0	37.2325	0	0	28.5048
-4.66667	1	0	37.3414	0	0	28.8873
-4.44444	1	0	37.455	0	0	29.235
-4.22222	1	0	37.5713	0	0	29.5501
-4	1	0	37.681	0	0	29.8509
-3.77778	1	0	37.7932	0	0	30.1394
-3.55556	1	0	37.9099	0	22.3359	30.377
-3.33333	1	0	38.0194	0	23.2945	30.6148
-3.11111	1	0	38.1274	0	24.1084	30.8498
-2.88889	1	0	38.2421	0	24.8598	31.0498
-2.66667	1	0	38.3528	0	25.575	31.2472
-2.44444	1	0	38.4602	0	26.2654	31.4407
-2.22222	1	0	38.575	0	26.9362	31.6201
-2	1	0	38.6886	0	27.5883	31.7946
-1.77778	1	0	38.7955	0	28.2182	31.9632
-1.55556	1	0	38.9069	21.6749	28.8174	32.1355
-1.33333	1	0	39.0196	23.1404	29.371	32.2882
-1.11111	1	0	39.1248	23.9779	29.8616	32.4398
-0.888889	1	0	39.2333	24.7152	30.2849	32.5998
-0.666667	1	0	39.3473	25.4125	30.6634	32.7437
-0.444444	1	0	39.4544	26.0888	31.0184	32.8907
-0.222222	1	0	39.5592	26.7515	31.3505	33.0406
2.89298e-16	1	0	39.6672	27.4022	31.6558	33.1677
0.222222	1	0	39.766	28.0391	31.934	33.32
0.444444	1	0	39.8566	28.6565	32.1883	33.4617
0.666667	1	0	39.9502	29.2431	32.4288	33.5986
0.888889	1	0	40.0366	29.7823	32.6367	33.7345
1.11111	1	0	40.1086	30.2569	32.8196	33.8677
1.33333	1	0	40.1794	30.6678	33.0082	34.004
1.55556	1	0	40.2443	31.04	33.1761	34.1373
1.77778	1	0	40.2879	31.3896	33.3124	34.2655
2	1	0	40.3252	31.7167	33.4621	34.4035
2.22222	1	0	40.3667	32.0152	33.604	34.5289
2.44444	1	0	40.3918	32.2873	33.7451	34.6589
2.66667	1	0	40.4066	32.5405	33.8608	34.7992
2.88889	1	0	40.4331	32.771	33.9981	34.883
3.11111	1	0	40.4507	32.9752	34.1289	35.0444
3.33333	1	0	40.4489	33.154	34.2427	35.1662
3.55556	1	0	40.4546	33.3382	34.3547	35.2919
3.77778	1	0	40.4612	33.5096	34.4926	35.4087
4	1	0	40.4471	33.6456	34.5917	35.5382
4.22222	1	0	40.4376	33.7972	34.7043	35.6584
4.44444	1	0	40.4424	33.9422	34.8532	35.7747
4.66667	1	0	40.4297	34.0745	34.9028	35.8955
4.88889	1	0	40.4097	34.1899	35.0507	36.0118
5.11111	1	0	40.4012	34.3103	35.1546	36.1308
5.33333	1	0	40.3739	34.4452	35.2976	36.2408
5.55556	1	0	40.3269	34.5473	35.411	36.3571
5.77778	1	0	40.2964	34.6724	35.5258	36.4663
6	1	0	40.2635	34.8124	35.6562	36.5821
6.22222	1	0	40.2051	34.8852	35.7297	36.6779
6.44444	1	0	40.1508	35.0277	35.8729	36.7916
6.66667	1	0	40.0944	35.1653	35.973	36.8927
6.88889	1	0	39.9934	35.2325	36.0931	36.9983
7.11111	1	0	39.8716	35.3775	36.1878	37.0976
7.33333	1	0	39.7647	35.4469	36.3318	37.1937
7.55556	1	0	39.6187	35.5809	36.4019	37.2893
7.77778	1	0	39.4218	35.6348	36.5128	37.3812
8	1	0	39.2402	35.7928	36.6547	37.4774
8.22222	1	0	39.0322	35.8221	36.784	37.5689
8.44444	1	0	38.6929	35.9773	36.8586	37.6543
8.66667	1	0	38.2134	36.049	36.9519	37.7372
8.88889	1	0	37.6609	36.1688	37.0808	37.8136
9.11111	1	0	36.985	36.2259	37.1663	37.8982
9.33333	1	0	36.1082	36.277	37.2873	37.9675
9.55556	1	0	34.5769	36.3316	37.3011	38.017
9.77778	1	0	31.8306	36.4005	37.4259	38.0817
10	1	0	27.0514	36.3763	37.4848	38.1422
10.2222	1	0	18.8813	36.4625	37.6106	38.1813
10.4444	1	0	5.05482	36.3411	37.5333	38.2015
10.6667	1	0	-18.2071	36.4229	37.6202	38.2053
10.8889	1	0	-57.2083	36.2385	37.6283	38.1865
11.1111	1	0	-122.464	36.3898	37.5042	38.175
11.3333	1	0	-231.515	36.1522	37.5427	38.1226
11.5556	1	0	0	36.3365	37.479	38.0117
11.7778	1	0	0	35.2787	37.3868	37.9437
12	1	0	0	34.9097	37.2682	37.8403
12.2222	1	0	0	35.0274	37.0819	37.7779
12.4444	1	0	0	34.7605	37.1164	37.5712
12.6667	1	0	0	33.3303	36.815	37.3821
12.8889	1	0	0	33.3472	36.8014	37.2139
13.1111	1	0	0	32.9073	36.4223	37.0211
13.3333	1	0	0	33.062	36.439	36.8619
13.5556	1	0	0	33.3769	35.3855	36.6182
13.7778	1	0	0	30.9078	34.8301	36.2651
14	1	0	0	30.8141	34.7415	35.9549
14.2222	1	0	0	30.2085	34.1406	35.4425
14.4444	1	0	0	30.4842	34.2972	34.8198
14.6667	1	0	0	26.9155	30.942	33.2441
14.8889	1	0	0	0	0	0
15.1111	1	0	0	0	0	0
15.3333	1	0	0	0	0	0
15.5556	1	0	0	0	0	0
15.7778	1	0	0	0	0	0
16	1	0	0	0	0	0
-5.95677	1.08311	0.244959	37.1502	0	0	0
-5.73455	1.08311	0.244959	37.2754	0	0	27.4522
-5.51233	1.08311	0.244959	37.3939	0	0	28.0485
-5.2901	1.08311	0.244959	37.509	0	0	28.5269
-5.06788	1.08311	0.244959	37.6285	0	0	28.9587
-4.84566	1.08311	0.244959	37.7431	0	0	29.3635
-4.62344	1.08311	0.244959	37.8518	0	0	29.7444
-4.40122	1.08311	0.244959	37.9666	0	0	30.09
-4.17899	1.08311	0.244959	38.0821	0	0	30.4021
-3.95677	1.08311	0.244959	38.1912	0	0	30.7003
-3.73455	1.08311	0.244959	38.3045	0	0	30.9866
-3.51233	1.08311	0.244959	38.4207	0	23.088	31.2222
-3.2901	1.08311	0.244959	38.529	0	24.0377	31.4582
-3.06788	1.08311	0.244959	38.6381	0	24.8444	31.6917
-2.84566	1.08311	0.244959	38.753	0	25.5903	31.8904
-2.62344	1.08311	0.244959	38.8624	0	26.3011	32.0868
-2.40122	1.08311	0.244959	38.9704	0	26.9879	32.2794
-2.17899	1.08311	0.244959	39.086	0	27.6553	32.458
-1.95677	1.08311	0.244959	39.198	0	28.3033	32.6318
-1.73455	1.08311	0.244959	39.3045	0	28.9279	32.7998
-1.51233	1.08311	0.244959	39.4165	22.3995	29.5192	32.9716
-1.2901	1.08311	0.244959	39.5273	23.8637	30.0613	33.1238
-1.06788	1.08311	0.244959	39.631	24.7	30.5374	33.2751
-0.84566	1.08311	0.244959	39.7391	25.4363	30.9486	33.4347
-0.623438	1.08311	0.244959	39.8504	26.1325	31.3202	33.5783
-0.401216	1.08311	0.244959	39.9528	26.8078	31.6695	33.725
-0.178994	1.08311	0.244959	40.0534	27.469	31.9945	33.8747
0.0432285	1.08311	0.244959	40.1547	28.1176	32.2916	34.0015
0.265451	1.08311	0.244959	40.2431	28.7513	32.5622	34.1535
0.487673	1.08311	0.244959	40.3232	29.3636	32.8098	34.295
0.709895	1.08311	0.244959	40.4057	29.9421	33.0438	34.4316
0.932117	1.08311	0.244959	40.4772	30.4692	33.2443	34.5671
1.15434	1.08311	0.244959	40.5338	30.9296	33.4235	34.7
1.37656	1.08311	0.244959	40.5915	31.3295	33.6099	34.8359
1.59878	1.08311	0.244959	40.6418	31.6955	33.7721	34.9686
1.82101	1.08311	0.244959	40.6703	32.0391	33.9058	35.0962
2.04323	1.08311	0.244959	40.6964	32.359	34.0558	35.2336
2.26545	1.08311	0.244959	40.7279	32.6492	34.1927	35.3581
2.48767	1.08311	0.244959	40.7421	32.914	34.3315	35.4871
2.7099	1.08311	0.244959	40.7504	33.1608	34.4523	35.6266
2.93212	1.08311	0.244959	40.7725	33.3842	34.5869	35.7088
